LS_X;LS_Y;LS_Z;ERRO_LS
2.05;4.05;-0.0;0.07
2.07;4.01;0.0;0.07
2.01;3.97;-0.0;0.03
2.1;3.86;-0.0;0.17
2.07;4.21;0.0;0.22
2.06;4.03;0.0;0.07
2.09;4.03;0.0;0.09
2.03;4.06;-0.0;0.06
2.03;4.09;0.0;0.09
2.04;4.06;0.0;0.07
2.04;4.03;0.0;0.05
2.08;4.15;-0.0;0.17
2.06;3.79;0.0;0.22
2.05;4.09;0.0;0.1
2.04;4.03;-0.0;0.05
2.06;4.15;-0.0;0.17
2.05;4.11;-0.0;0.12
2.07;4.14;0.0;0.15
2.08;4.06;-0.0;0.1
2.04;4.15;-0.0;0.15
2.08;4.12;-0.0;0.14
2.08;4.14;-0.0;0.16
2.03;4.08;0.0;0.08
2.06;4.04;0.0;0.07
2.09;4.11;-0.0;0.14
2.07;4.1;0.0;0.12
2.09;4.13;-0.0;0.15
2.06;4.09;-0.0;0.11
2.11;4.1;0.0;0.15
2.1;4.11;0.0;0.15
2.04;4.09;-0.0;0.1
2.06;4.09;0.0;0.11
2.04;4.06;0.0;0.07
2.04;4.08;0.0;0.09
2.06;4.1;-0.0;0.12
2.07;4.12;-0.0;0.13
2.07;4.12;-0.0;0.13
2.06;4.04;0.0;0.08
2.04;4.09;0.0;0.1
2.05;4.07;0.0;0.09
2.06;4.1;0.0;0.11
2.05;4.1;0.0;0.11
2.04;4.09;0.0;0.1
2.07;4.09;-0.0;0.11
2.07;4.12;0.0;0.14
2.07;4.11;-0.0;0.13
2.06;4.06;0.0;0.09
2.03;4.12;-0.0;0.12
2.05;4.11;0.0;0.12
2.06;4.08;-0.0;0.1
2.06;4.1;-0.0;0.12
2.03;4.09;0.0;0.09
2.07;4.09;-0.0;0.11
2.05;4.09;0.0;0.1
2.06;4.1;-0.0;0.12
2.07;4.07;-0.0;0.1
2.05;4.1;0.0;0.11
2.07;4.11;0.0;0.13
2.06;4.07;-0.0;0.09
2.04;4.06;0.0;0.07
2.07;4.15;0.0;0.16
2.07;4.1;0.0;0.12
2.07;4.08;-0.0;0.1
2.04;4.1;-0.0;0.1
2.06;4.12;0.0;0.13
2.09;4.09;-0.0;0.13
2.04;4.07;-0.0;0.08
2.07;4.12;-0.0;0.13
2.08;4.08;0.0;0.11
2.04;4.1;0.0;0.1
2.08;4.14;0.0;0.16
2.05;4.11;0.0;0.12
2.06;4.13;0.0;0.14
2.06;4.09;-0.0;0.11
2.07;4.09;-0.0;0.11
2.06;4.09;-0.0;0.11
2.05;4.08;0.0;0.09
2.05;4.11;-0.0;0.12
2.07;4.11;-0.0;0.13
2.07;4.1;-0.0;0.12
2.05;4.09;-0.0;0.1
2.04;4.11;-0.0;0.11
2.08;4.02;0.0;0.08
2.09;4.1;-0.0;0.13
2.06;4.09;0.0;0.1
2.06;4.12;0.0;0.14
2.07;4.13;0.0;0.15
2.08;4.11;-0.0;0.13
2.11;4.09;0.0;0.14
2.04;4.1;0.0;0.11
2.09;4.13;-0.0;0.16
2.04;4.1;0.0;0.11
2.07;4.1;0.0;0.12
2.05;4.09;0.0;0.1
2.04;4.11;-0.0;0.12
2.06;4.14;-0.0;0.15
2.05;4.11;0.0;0.12
2.04;4.11;0.0;0.11
2.06;4.13;-0.0;0.14
2.08;4.09;0.0;0.12
2.04;4.11;0.0;0.11
2.08;4.14;0.0;0.16
2.04;4.1;-0.0;0.1
2.09;4.12;0.0;0.15
2.07;4.08;-0.0;0.1
2.05;4.07;-0.0;0.09
2.07;4.08;0.0;0.1
2.06;4.07;-0.0;0.09
2.06;4.08;0.0;0.1
2.08;4.09;-0.0;0.12
2.05;4.08;-0.0;0.09
2.07;4.12;0.0;0.14
2.06;4.06;-0.0;0.08
2.05;4.08;-0.0;0.09
2.09;4.13;-0.0;0.16
2.08;4.13;-0.0;0.16
2.08;4.08;0.0;0.11
2.06;4.11;0.0;0.12
2.06;4.1;-0.0;0.11
2.05;4.12;0.0;0.13
2.04;4.13;-0.0;0.13
2.08;4.09;0.0;0.12
2.04;4.08;0.0;0.09
2.05;4.1;-0.0;0.11
2.06;4.12;0.0;0.13
2.09;4.13;-0.0;0.15
2.07;4.09;-0.0;0.11
2.04;4.1;0.0;0.1
2.08;4.11;-0.0;0.13
2.08;4.07;-0.0;0.11
2.07;4.14;-0.0;0.15
2.07;4.09;-0.0;0.11
2.05;4.09;-0.0;0.1
2.09;4.11;0.0;0.14
2.07;4.11;0.0;0.13
2.03;4.08;0.0;0.08
2.1;4.1;-0.0;0.14
2.08;4.08;0.0;0.11
2.04;4.09;-0.0;0.1
2.07;4.07;-0.0;0.1
2.07;4.07;-0.0;0.1
2.02;4.14;-0.0;0.14
2.04;4.11;0.0;0.11
2.06;4.09;-0.0;0.11
2.08;4.1;-0.0;0.13
2.1;4.1;-0.0;0.14
2.07;4.1;0.0;0.12
2.04;4.12;-0.0;0.12
2.09;4.11;0.0;0.14
2.07;4.11;-0.0;0.13
2.09;4.12;-0.0;0.15
2.06;4.1;0.0;0.11
2.06;4.13;0.0;0.14
2.05;4.1;-0.0;0.11
2.09;4.1;0.0;0.13
2.08;4.07;-0.0;0.11
2.06;4.1;0.0;0.11
2.05;4.13;0.0;0.14
2.06;4.11;0.0;0.12
2.05;4.12;0.0;0.13
2.05;4.09;0.0;0.1
2.07;4.12;-0.0;0.13
2.07;4.08;-0.0;0.1
2.06;4.08;0.0;0.1
2.06;4.1;-0.0;0.11
2.08;4.1;0.0;0.13
2.06;4.07;0.0;0.09
2.05;4.08;-0.0;0.09
2.07;4.11;-0.0;0.13
2.05;4.14;-0.0;0.14
2.07;4.13;0.0;0.15
2.08;4.09;0.0;0.12
2.08;4.12;-0.0;0.14
2.05;4.07;0.0;0.08
2.06;4.09;-0.0;0.11
2.07;4.1;0.0;0.12
2.06;4.11;0.0;0.12
2.04;4.11;0.0;0.12
2.08;4.13;-0.0;0.16
2.09;4.06;-0.0;0.11
2.07;4.1;0.0;0.12
2.07;4.14;-0.0;0.15
2.05;4.1;-0.0;0.11
2.06;4.12;0.0;0.13
2.04;4.1;0.0;0.11
2.05;4.08;-0.0;0.09
2.06;4.09;0.0;0.11
2.07;4.12;0.0;0.14
2.06;4.09;0.0;0.1
2.04;4.12;-0.0;0.12
2.04;4.11;-0.0;0.11
2.07;4.12;-0.0;0.13
2.04;4.1;-0.0;0.11
2.04;4.09;-0.0;0.1
2.09;4.11;-0.0;0.14
2.04;4.1;0.0;0.11
2.07;4.06;-0.0;0.09
2.05;4.11;-0.0;0.12
2.04;4.06;0.0;0.07
2.06;4.09;0.0;0.11
2.05;4.13;-0.0;0.14
2.07;4.1;0.0;0.12
2.05;4.12;-0.0;0.13
2.11;4.07;0.0;0.13
2.04;4.1;0.0;0.11
2.03;4.08;-0.0;0.08
2.07;4.09;0.0;0.11
2.06;4.08;-0.0;0.1
2.09;4.12;0.0;0.15
2.03;4.07;0.0;0.07
2.07;4.09;-0.0;0.11
2.02;4.12;-0.0;0.12
2.05;4.12;-0.0;0.13
2.06;4.11;0.0;0.12
2.05;4.09;0.0;0.1
2.08;4.07;-0.0;0.1
2.04;4.09;0.0;0.1
2.08;4.11;0.0;0.14
2.06;4.13;0.0;0.14
2.07;4.1;0.0;0.12
2.07;4.1;0.0;0.12
2.09;4.07;0.0;0.12
2.07;4.1;-0.0;0.12
2.08;4.11;0.0;0.14
2.05;4.07;-0.0;0.09
2.05;4.09;0.0;0.1
2.07;4.08;-0.0;0.1
2.06;4.14;0.0;0.15
2.09;4.11;0.0;0.14
2.07;4.1;-0.0;0.12
2.05;4.13;-0.0;0.14
2.08;4.09;-0.0;0.12
2.08;4.1;-0.0;0.13
2.06;4.1;-0.0;0.11
2.07;4.09;-0.0;0.11
2.05;4.1;-0.0;0.11
2.07;4.12;0.0;0.14
2.06;4.09;-0.0;0.11
2.06;4.11;0.0;0.12
2.07;4.1;-0.0;0.12
2.06;4.11;-0.0;0.12
2.07;4.11;-0.0;0.13
2.08;4.1;-0.0;0.13
2.09;4.09;0.0;0.12
2.09;4.14;-0.0;0.17
2.06;4.12;0.0;0.13
2.06;4.13;0.0;0.14
2.06;4.14;-0.0;0.15
2.06;4.09;-0.0;0.11
2.04;4.08;0.0;0.09
2.05;4.08;0.0;0.09
2.05;4.07;-0.0;0.08
2.06;4.12;0.0;0.13
2.06;4.11;0.0;0.12
2.09;4.13;-0.0;0.16
2.05;4.1;-0.0;0.11
2.09;4.08;0.0;0.12
2.08;4.11;-0.0;0.13
2.06;4.07;-0.0;0.09
2.06;4.13;-0.0;0.14
2.07;4.1;-0.0;0.12
2.06;4.1;-0.0;0.11
2.06;4.09;-0.0;0.11
2.03;4.12;0.0;0.12
2.05;4.1;-0.0;0.11
2.06;4.06;0.0;0.08
2.05;4.09;0.0;0.1
2.03;4.08;0.0;0.08
2.06;4.12;0.0;0.13
2.08;4.12;-0.0;0.14
2.04;4.07;-0.0;0.08
2.04;4.09;0.0;0.1
2.08;4.13;-0.0;0.15
2.04;4.07;-0.0;0.08
2.07;4.06;0.0;0.09
2.03;4.12;0.0;0.12
2.04;4.07;0.0;0.08
2.05;4.11;-0.0;0.12
2.08;4.13;0.0;0.15
2.05;4.13;-0.0;0.13
2.02;4.1;0.0;0.1
2.06;4.1;-0.0;0.12
2.05;4.08;-0.0;0.09
2.07;4.09;-0.0;0.11
2.05;4.11;-0.0;0.12
2.05;4.09;-0.0;0.1
2.06;4.09;0.0;0.1
2.05;4.1;0.0;0.11
2.04;4.1;0.0;0.11
2.06;4.12;0.0;0.13
2.07;4.08;-0.0;0.1
2.05;4.13;-0.0;0.14
2.08;4.13;-0.0;0.15
2.06;4.11;-0.0;0.12
2.07;4.08;-0.0;0.11
2.05;4.12;-0.0;0.13
2.04;4.09;-0.0;0.1
2.09;4.09;-0.0;0.12
2.06;4.08;0.0;0.1
2.07;4.11;-0.0;0.13
2.04;4.1;-0.0;0.1
2.09;4.09;-0.0;0.12
2.07;4.09;0.0;0.11
2.03;4.11;-0.0;0.11
2.05;4.07;-0.0;0.08
2.07;4.1;0.0;0.12
2.08;4.1;0.0;0.12
2.07;4.12;0.0;0.14
2.03;4.1;0.0;0.1
2.05;4.09;0.0;0.1
2.05;4.07;0.0;0.08
2.05;4.07;-0.0;0.09
2.04;4.08;-0.0;0.09
2.05;4.07;0.0;0.08
2.07;4.07;-0.0;0.1
2.07;4.09;-0.0;0.11
2.01;4.09;-0.0;0.09
2.07;4.08;0.0;0.11
2.06;4.04;0.0;0.07
2.06;4.08;0.0;0.1
2.05;4.14;-0.0;0.14
2.04;4.12;-0.0;0.12
2.06;4.11;0.0;0.12
2.1;4.08;0.0;0.12
2.04;4.1;0.0;0.11
2.04;4.14;-0.0;0.14
2.05;4.09;0.0;0.1
2.05;4.12;0.0;0.13
2.04;4.13;-0.0;0.13
2.05;4.11;0.0;0.12
2.04;4.1;0.0;0.11
2.09;4.11;-0.0;0.14
2.07;4.11;0.0;0.13
2.09;4.13;-0.0;0.15
2.06;4.09;-0.0;0.1
2.07;4.11;-0.0;0.13
2.06;4.12;-0.0;0.13
2.06;4.08;-0.0;0.1
2.05;4.1;-0.0;0.11
2.06;4.12;0.0;0.13
2.08;4.13;0.0;0.16
2.08;4.06;0.0;0.1
2.07;4.07;0.0;0.1
2.07;4.11;-0.0;0.13
2.06;4.11;0.0;0.12
2.1;4.13;-0.0;0.17
2.07;4.13;-0.0;0.14
2.06;4.1;-0.0;0.11
2.08;4.09;-0.0;0.12
2.07;4.12;0.0;0.13
2.08;4.12;-0.0;0.14
2.07;4.14;0.0;0.15
2.1;4.09;-0.0;0.14
2.07;4.07;-0.0;0.1
2.07;4.12;0.0;0.14
2.06;4.07;-0.0;0.09
2.07;4.09;-0.0;0.11
2.08;4.09;-0.0;0.12
2.04;4.11;0.0;0.12
2.07;4.13;-0.0;0.15
2.03;4.1;-0.0;0.1
2.05;4.1;0.0;0.11
2.06;4.08;0.0;0.1
2.08;4.12;-0.0;0.14
2.06;4.13;-0.0;0.14
2.06;4.14;-0.0;0.15
2.06;4.08;-0.0;0.1
2.03;4.07;0.0;0.07
2.04;4.09;0.0;0.1
2.07;4.11;-0.0;0.13
2.11;4.09;0.0;0.14
2.06;4.07;0.0;0.09
2.04;4.1;-0.0;0.11
2.07;4.1;0.0;0.12
2.06;4.11;-0.0;0.12
2.05;4.09;-0.0;0.1
2.03;4.1;0.0;0.1
2.05;4.09;0.0;0.1
2.06;4.09;-0.0;0.1
2.07;4.11;0.0;0.13
2.09;4.12;0.0;0.15
2.04;4.1;0.0;0.11
2.05;4.07;0.0;0.09
2.07;4.09;-0.0;0.11
2.05;4.12;0.0;0.13
2.04;4.09;0.0;0.1
2.05;4.14;0.0;0.14
2.09;4.08;-0.0;0.12
2.08;4.11;-0.0;0.13
2.06;4.06;0.0;0.09
2.04;4.1;0.0;0.11
2.04;4.13;-0.0;0.13
2.08;4.1;0.0;0.13
2.06;4.07;-0.0;0.09
2.04;4.12;-0.0;0.12
2.09;4.14;0.0;0.16
2.04;4.1;0.0;0.11
2.08;4.14;-0.0;0.16
2.1;4.1;-0.0;0.14
2.06;4.08;-0.0;0.1
2.08;4.09;-0.0;0.12
2.07;4.11;0.0;0.13
2.08;4.08;-0.0;0.11
2.06;4.1;-0.0;0.11
2.03;4.11;0.0;0.11
2.04;4.07;-0.0;0.08
2.09;4.08;-0.0;0.12
2.1;4.08;0.0;0.12
2.07;4.08;-0.0;0.11
2.08;4.11;-0.0;0.13
2.08;4.12;-0.0;0.14
2.04;4.09;0.0;0.1
2.05;4.08;-0.0;0.09
2.11;4.11;0.0;0.15
2.06;4.11;0.0;0.12
2.08;4.08;-0.0;0.11
2.04;4.1;0.0;0.11
2.06;4.08;0.0;0.1
2.06;4.08;0.0;0.1
2.07;4.14;-0.0;0.15
2.04;4.05;0.0;0.07
2.06;4.12;-0.0;0.13
2.08;4.1;0.0;0.12
2.03;4.11;0.0;0.11
2.1;4.15;0.0;0.18
2.04;4.09;0.0;0.1
2.07;4.09;0.0;0.11
2.04;4.08;0.0;0.09
2.06;4.1;-0.0;0.12
2.06;4.15;-0.0;0.17
2.07;4.06;-0.0;0.09
2.06;4.12;0.0;0.13
2.05;4.1;-0.0;0.11
2.04;4.09;0.0;0.1
2.07;4.09;-0.0;0.11
2.05;4.07;0.0;0.09
2.02;4.07;0.0;0.07
2.04;4.1;0.0;0.11
2.08;4.1;0.0;0.13
2.08;4.1;0.0;0.12
2.08;4.14;0.0;0.16
2.08;4.14;0.0;0.16
2.03;4.09;0.0;0.09
2.04;4.1;0.0;0.11
2.06;4.11;-0.0;0.12
2.06;4.11;-0.0;0.12
2.06;4.1;0.0;0.11
2.05;4.11;-0.0;0.12
2.06;4.12;-0.0;0.13
2.1;4.14;0.0;0.17
2.09;4.08;0.0;0.12
2.06;4.12;0.0;0.13
2.08;4.11;0.0;0.13
2.09;4.07;0.0;0.11
2.04;4.1;0.0;0.11
2.06;4.11;0.0;0.12
2.06;4.1;-0.0;0.11
2.03;4.09;-0.0;0.09
2.03;4.09;0.0;0.09
2.05;4.12;0.0;0.13
2.06;4.1;-0.0;0.11
2.05;4.11;-0.0;0.12
2.07;4.1;-0.0;0.12
2.05;4.09;0.0;0.1
2.04;4.14;-0.0;0.14
2.03;4.09;-0.0;0.09
2.06;4.13;0.0;0.14
2.05;4.09;0.0;0.1
2.06;4.09;0.0;0.11
2.04;4.09;0.0;0.1
2.06;4.09;-0.0;0.11
2.08;4.1;-0.0;0.13
2.06;4.11;-0.0;0.12
2.04;4.1;0.0;0.1
2.09;4.14;0.0;0.16
2.07;4.11;0.0;0.13
2.09;4.07;0.0;0.11
2.08;4.11;-0.0;0.14
2.04;4.11;-0.0;0.12
2.03;4.12;-0.0;0.12
2.04;4.1;0.0;0.11
2.06;4.11;0.0;0.12
2.08;4.1;0.0;0.13
