LS_X;LS_Y;LS_Z;ERRO_LS
2.32;0.91;0.0;0.68
2.94;1.1;0.0;0.12
2.94;1.09;0.0;0.1
2.88;0.87;0.0;0.17
2.92;1.04;0.0;0.09
2.93;1.05;0.0;0.08
2.57;0.91;0.0;0.44
2.77;1.0;0.0;0.23
2.78;0.95;0.0;0.22
2.92;1.09;0.0;0.12
3.04;1.16;0.0;0.16
3.0;1.1;0.0;0.1
2.98;1.09;0.0;0.1
2.95;1.09;0.0;0.1
2.63;1.0;0.0;0.37
2.26;0.86;0.0;0.75
2.27;0.84;0.0;0.75
3.03;1.05;0.0;0.06
3.03;1.1;0.0;0.1
3.06;1.1;0.0;0.11
3.02;1.11;0.0;0.12
3.06;1.1;0.0;0.11
2.96;1.06;0.0;0.07
3.01;1.11;0.0;0.11
3.0;1.1;0.0;0.1
3.14;1.22;0.0;0.26
3.02;1.14;0.0;0.14
3.04;1.15;0.0;0.15
3.08;1.13;0.0;0.15
3.05;1.08;0.0;0.09
3.11;1.11;0.0;0.16
2.8;1.03;0.0;0.21
3.06;1.11;0.0;0.12
3.0;1.12;0.0;0.12
3.1;1.18;0.0;0.2
3.13;1.17;0.0;0.21
3.11;1.11;0.0;0.15
3.0;1.02;0.0;0.02
3.0;1.05;0.0;0.05
3.09;1.21;0.0;0.23
3.08;1.17;0.0;0.19
3.09;1.11;0.0;0.14
3.15;1.28;0.0;0.31
3.05;1.04;0.0;0.06
3.09;1.18;0.0;0.21
3.09;1.16;0.0;0.18
3.12;1.2;0.0;0.23
3.08;1.2;0.0;0.21
3.11;1.19;0.0;0.22
3.12;1.15;0.0;0.19
3.07;1.16;0.0;0.17
3.06;1.18;0.0;0.19
3.09;1.13;0.0;0.16
3.05;1.12;0.0;0.13
3.12;1.15;0.0;0.19
3.08;1.1;0.0;0.13
3.05;1.13;0.0;0.14
3.05;1.13;0.0;0.14
3.05;1.13;0.0;0.13
3.09;1.11;0.0;0.14
3.06;1.07;0.0;0.09
3.08;1.14;0.0;0.16
2.97;1.06;0.0;0.06
3.07;1.07;0.0;0.09
3.01;1.09;0.0;0.09
3.03;1.08;0.0;0.08
3.09;1.14;0.0;0.16
3.07;1.11;0.0;0.13
3.08;1.08;0.0;0.12
3.02;1.11;0.0;0.11
2.96;1.13;0.0;0.13
3.12;1.18;0.0;0.22
3.03;1.15;0.0;0.16
2.99;1.1;0.0;0.1
3.11;1.14;0.0;0.18
3.05;1.14;0.0;0.15
3.11;1.16;0.0;0.19
3.07;1.11;0.0;0.13
3.07;1.07;0.0;0.1
3.04;1.04;0.0;0.05
3.08;1.1;0.0;0.13
3.03;1.15;0.0;0.16
2.98;1.09;0.0;0.1
3.06;1.11;0.0;0.12
3.1;1.15;0.0;0.18
3.07;1.13;0.0;0.15
3.0;1.11;0.0;0.11
3.12;1.15;0.0;0.19
2.99;1.04;0.0;0.04
3.03;1.06;0.0;0.07
3.04;1.13;0.0;0.13
3.08;1.18;0.0;0.2
3.04;1.03;0.0;0.05
3.12;1.12;0.0;0.17
2.9;0.89;0.0;0.15
3.03;1.11;0.0;0.11
3.04;1.07;0.0;0.09
3.08;1.15;0.0;0.17
2.99;1.15;0.0;0.15
3.0;1.14;0.0;0.14
3.12;1.16;0.0;0.2
2.99;1.09;0.0;0.09
3.12;1.21;0.0;0.24
3.07;1.12;0.0;0.14
3.1;1.12;0.0;0.16
3.07;1.14;0.0;0.15
3.11;1.17;0.0;0.2
