ID,Range,Timestamp,Erro
D62A,"1,84",1693537068736,"0,16"
D62A,"1,77",1693537068833,"0,23"
D62A,"1,86",1693537068933,"0,14"
D62A,"1,72",1693537069033,"0,28"
D62A,"1,76",1693537069133,"0,24"
D62A,"1,76",1693537069233,"0,24"
D62A,"1,76",1693537069333,"0,24"
D62A,"1,87",1693537069433,"0,13"
D62A,"1,84",1693537069533,"0,16"
D62A,"1,82",1693537069633,"0,18"
D62A,"1,84",1693537069733,"0,16"
D62A,"1,76",1693537069833,"0,24"
D62A,"1,78",1693537069933,"0,22"
D62A,"1,85",1693537070033,"0,15"
D62A,"1,81",1693537070133,"0,19"
D62A,"1,78",1693537070233,"0,22"
D62A,"1,81",1693537070333,"0,19"
D62A,"1,77",1693537070433,"0,23"
D62A,"1,72",1693537070533,"0,28"
D62A,"1,85",1693537070633,"0,15"
D62A,"1,74",1693537070733,"0,26"
D62A,"1,75",1693537070833,"0,25"
D62A,"1,85",1693537070933,"0,15"
D62A,"1,78",1693537071033,"0,22"
D62A,"1,73",1693537071133,"0,27"
D62A,"1,75",1693537071233,"0,25"
D62A,"1,72",1693537071333,"0,28"
D62A,"1,77",1693537071433,"0,23"
D62A,"1,69",1693537071533,"0,31"
D62A,"1,71",1693537071633,"0,29"
D62A,"1,81",1693537071733,"0,19"
D62A,"1,77",1693537071833,"0,23"
D62A,"1,84",1693537071933,"0,16"
D62A,"1,83",1693537072033,"0,17"
D62A,"1,81",1693537072133,"0,19"
D62A,"1,81",1693537072233,"0,19"
D62A,"1,77",1693537072333,"0,23"
D62A,"1,78",1693537072433,"0,22"
D62A,"1,83",1693537072533,"0,17"
D62A,"1,79",1693537072633,"0,21"
D62A,"1,78",1693537072733,"0,22"
D62A,"1,84",1693537072833,"0,16"
D62A,"1,85",1693537072933,"0,15"
D62A,"1,76",1693537073033,"0,24"
D62A,"1,78",1693537073133,"0,22"
D62A,"1,77",1693537073233,"0,23"
D62A,"1,81",1693537073333,"0,19"
D62A,"1,86",1693537073433,"0,14"
D62A,"1,82",1693537073533,"0,18"
D62A,"1,82",1693537073633,"0,18"
D62A,"1,78",1693537073733,"0,22"
D62A,"1,84",1693537073833,"0,16"
D62A,"1,77",1693537073933,"0,23"
D62A,"1,85",1693537074033,"0,15"
D62A,"1,77",1693537074133,"0,23"
D62A,"1,76",1693537074233,"0,24"
D62A,"1,81",1693537074333,"0,19"
D62A,"1,79",1693537074433,"0,21"
D62A,"1,82",1693537074533,"0,18"
D62A,"1,85",1693537074634,"0,15"
D62A,"1,81",1693537074733,"0,19"
D62A,"1,78",1693537074833,"0,22"
D62A,"1,79",1693537074933,"0,21"
D62A,"1,83",1693537075033,"0,17"
D62A,"1,78",1693537075133,"0,22"
D62A,"1,72",1693537075233,"0,28"
D62A,"1,84",1693537075333,"0,16"
D62A,"1,8",1693537075433,"0,2"
D62A,"1,75",1693537075533,"0,25"
D62A,"1,86",1693537075633,"0,14"
D62A,"1,77",1693537075733,"0,23"
D62A,"1,83",1693537075833,"0,17"
D62A,"1,78",1693537075933,"0,22"
D62A,"1,82",1693537076033,"0,18"
D62A,"1,77",1693537076133,"0,23"
D62A,"1,8",1693537076233,"0,2"
D62A,"1,85",1693537076333,"0,15"
D62A,"1,8",1693537076433,"0,2"
D62A,"1,79",1693537076533,"0,21"
D62A,"1,8",1693537076633,"0,2"
D62A,"1,83",1693537076733,"0,17"
D62A,"1,8",1693537076833,"0,2"
D62A,"1,78",1693537076933,"0,22"
D62A,"1,74",1693537077033,"0,26"
D62A,"1,81",1693537077133,"0,19"
D62A,"1,75",1693537077233,"0,25"
D62A,"1,76",1693537077333,"0,24"
D62A,"1,75",1693537077433,"0,25"
D62A,"1,7",1693537077533,"0,3"
D62A,"1,83",1693537077633,"0,17"
D62A,"1,72",1693537077733,"0,28"
D62A,"1,85",1693537077833,"0,15"
D62A,"1,77",1693537077933,"0,23"
D62A,"1,82",1693537078033,"0,18"
D62A,"1,83",1693537078133,"0,17"
D62A,"1,81",1693537078233,"0,19"
D62A,"1,82",1693537078333,"0,18"
D62A,"1,84",1693537078433,"0,16"
D62A,"1,8",1693537078533,"0,2"
D62A,"1,77",1693537078633,"0,23"
D62A,"1,85",1693537078733,"0,15"
D62A,"1,75",1693537078833,"0,25"
D62A,"1,83",1693537078933,"0,17"
D62A,"1,72",1693537079033,"0,28"
D62A,"1,77",1693537079133,"0,23"
D62A,"1,8",1693537079233,"0,2"
D62A,"1,78",1693537079333,"0,22"
