NodeId;X;Y;Z;TagId;Range;TimeStamp
p1;0;4.0;0;D62A;4.33;1693536057457477534
p3;2.0;8.0;0;D62A;6.98;1693535949640376943
p2;4.0;4.0;0;D62A;3.08;1693543305014555058
p1;0;4.0;0;D62A;4.30;1693536057556806182
p3;2.0;8.0;0;D62A;6.95;1693535949739543332
p2;4.0;4.0;0;D62A;3.08;1693543305114933817
p1;0;4.0;0;D62A;4.28;1693536057656365867
p3;2.0;8.0;0;D62A;6.94;1693535949839921702
p2;4.0;4.0;0;D62A;3.06;1693543305214568891
p1;0;4.0;0;D62A;4.16;1693536057757305607
p3;2.0;8.0;0;D62A;6.95;1693535949939764906
p2;4.0;4.0;0;D62A;3.08;1693543305314927520
p1;0;4.0;0;D62A;4.16;1693536057857562311
p3;2.0;8.0;0;D62A;6.91;1693535950039696924
p2;4.0;4.0;0;D62A;3.10;1693543305414560502
p1;0;4.0;0;D62A;4.18;1693536057956734811
p3;2.0;8.0;0;D62A;6.92;1693535950139622054
p2;4.0;4.0;0;D62A;3.10;1693543305514993113
p1;0;4.0;0;D62A;4.26;1693536058057019755
p3;2.0;8.0;0;D62A;6.94;1693535950239633091
p2;4.0;4.0;0;D62A;3.09;1693543305614563631
p1;0;4.0;0;D62A;4.18;1693536058157275552
p3;2.0;8.0;0;D62A;6.91;1693535950339554109
p2;4.0;4.0;0;D62A;3.08;1693543305714956539
p1;0;4.0;0;D62A;4.18;1693536058257545255
p3;2.0;8.0;0;D62A;6.95;1693535950439510350
p2;4.0;4.0;0;D62A;3.05;1693543305814594909
p1;0;4.0;0;D62A;4.20;1693536058356752329
p3;2.0;8.0;0;D62A;6.99;1693535950539059942
p2;4.0;4.0;0;D62A;3.10;1693543305914979038
p1;0;4.0;0;D62A;4.16;1693536058457003885
p3;2.0;8.0;0;D62A;6.95;1693535950639545239
p2;4.0;4.0;0;D62A;3.09;1693543306014603390
p1;0;4.0;0;D62A;4.19;1693536058557372866
p3;2.0;8.0;0;D62A;6.98;1693535950739325498
p2;4.0;4.0;0;D62A;3.06;1693543306114999575
p1;0;4.0;0;D62A;4.23;1693536058656863125
p3;2.0;8.0;0;D62A;6.93;1693535950838845072
p2;4.0;4.0;0;D62A;3.10;1693543306214631779
p1;0;4.0;0;D62A;4.23;1693536058756776774
p3;2.0;8.0;0;D62A;6.90;1693535950939642053
p2;4.0;4.0;0;D62A;3.10;1693543306315010316
p1;0;4.0;0;D62A;4.22;1693536058857050329
p3;2.0;8.0;0;D62A;6.99;1693535951039107831
p2;4.0;4.0;0;D62A;3.09;1693543306414544834
p1;0;4.0;0;D62A;4.18;1693536058957262347
p3;2.0;8.0;0;D62A;6.91;1693535951139064942
p2;4.0;4.0;0;D62A;3.05;1693543306514712983
p1;0;4.0;0;D62A;4.22;1693536059057568514
p3;2.0;8.0;0;D62A;6.89;1693535951239015849
p2;4.0;4.0;0;D62A;3.10;1693543306614577594
p1;0;4.0;0;D62A;4.20;1693536059156830699
p3;2.0;8.0;0;D62A;6.98;1693535951339950701
p2;4.0;4.0;0;D62A;3.09;1693543306714776853
p1;0;4.0;0;D62A;4.23;1693536059257057625
p3;2.0;8.0;0;D62A;6.94;1693535951440146960
p2;4.0;4.0;0;D62A;3.10;1693543306814583575
p1;0;4.0;0;D62A;4.19;1693536059357366162
p3;2.0;8.0;0;D62A;6.96;1693535951540525590
p2;4.0;4.0;0;D62A;3.08;1693543306915029612
p1;0;4.0;0;D62A;4.22;1693536059456650458
p3;2.0;8.0;0;D62A;6.94;1693535951642626608
p2;4.0;4.0;0;D62A;3.11;1693543307014603612
p1;0;4.0;0;D62A;4.20;1693536059556979329
p3;2.0;8.0;0;D62A;6.94;1693535951739409183
p2;4.0;4.0;0;D62A;3.10;1693543307115046760
p1;0;4.0;0;D62A;4.24;1693536059656807940
p3;2.0;8.0;0;D62A;6.98;1693535951839301590
p2;4.0;4.0;0;D62A;3.07;1693543307215556519
p1;0;4.0;0;D62A;4.25;1693536059757378051
p3;2.0;8.0;0;D62A;6.90;1693535951939592442
p2;4.0;4.0;0;D62A;3.09;1693543307315037649
p1;0;4.0;0;D62A;4.23;1693536059856650328
p3;2.0;8.0;0;D62A;6.93;1693535952039579330
p2;4.0;4.0;0;D62A;3.07;1693543307414576167
p1;0;4.0;0;D62A;4.21;1693536059956943532
p3;2.0;8.0;0;D62A;6.91;1693535952139609127
p2;4.0;4.0;0;D62A;3.11;1693543307515064482
p1;0;4.0;0;D62A;4.22;1693536060057189569
p3;2.0;8.0;0;D62A;6.92;1693535952239480682
p2;4.0;4.0;0;D62A;3.08;1693543307614588871
p1;0;4.0;0;D62A;4.20;1693536060157432236
p3;2.0;8.0;0;D62A;6.91;1693535952339418164
p2;4.0;4.0;0;D62A;3.08;1693543307715039167
p1;0;4.0;0;D62A;4.21;1693536060256711847
p3;2.0;8.0;0;D62A;6.98;1693535952439343738
p2;4.0;4.0;0;D62A;3.11;1693543307814602723
p1;0;4.0;0;D62A;4.22;1693536060357000291
p3;2.0;8.0;0;D62A;6.98;1693535952539303312
p2;4.0;4.0;0;D62A;3.10;1693543307915082852
p1;0;4.0;0;D62A;4.19;1693536060457250013
p3;2.0;8.0;0;D62A;6.91;1693535952642525404
p2;4.0;4.0;0;D62A;3.10;1693543308014661889
p1;0;4.0;0;D62A;4.23;1693536060557622680
