NodeId;X;Y;Z;TagId;Range;TimeStamp
mobilepub;4.00;4.00;0.00;1127;1.77;1706703097.8708687
mobilepub;0.00;4.00;0.00;C02A;1.92;1706703097.8709743
mobilepub;2.00;8.00;0.00;120F;3.87;1706703097.8709943
mobilepub;4.00;4.00;0.00;1127;1.82;1706703097.9708898
mobilepub;0.00;4.00;0.00;C02A;1.88;1706703097.9709973
mobilepub;2.00;8.00;0.00;120F;3.91;1706703097.971019
mobilepub;4.00;4.00;0.00;1127;1.78;1706703098.0710144
mobilepub;0.00;4.00;0.00;C02A;1.92;1706703098.0711331
mobilepub;2.00;8.00;0.00;120F;3.89;1706703098.0711627
mobilepub;4.00;4.00;0.00;1127;1.77;1706703098.1709816
mobilepub;0.00;4.00;0.00;C02A;1.88;1706703098.1710799
mobilepub;2.00;8.00;0.00;120F;3.88;1706703098.1711
mobilepub;4.00;4.00;0.00;1127;1.80;1706703098.2713056
mobilepub;0.00;4.00;0.00;C02A;1.88;1706703098.2714012
mobilepub;2.00;8.00;0.00;120F;3.85;1706703098.2714233
mobilepub;4.00;4.00;0.00;1127;1.87;1706703098.3707008
mobilepub;0.00;4.00;0.00;C02A;1.93;1706703098.3707893
mobilepub;2.00;8.00;0.00;120F;3.86;1706703098.3708189
mobilepub;4.00;4.00;0.00;1127;1.71;1706703098.4709682
mobilepub;0.00;4.00;0.00;C02A;1.92;1706703098.4710631
mobilepub;2.00;8.00;0.00;120F;3.87;1706703098.4710839
mobilepub;4.00;4.00;0.00;1127;1.78;1706703098.5708733
mobilepub;0.00;4.00;0.00;C02A;1.89;1706703098.5709696
mobilepub;2.00;8.00;0.00;120F;3.95;1706703098.571002
mobilepub;4.00;4.00;0.00;1127;1.78;1706703098.6709728
mobilepub;0.00;4.00;0.00;C02A;1.93;1706703098.6710851
mobilepub;2.00;8.00;0.00;120F;3.90;1706703098.6711102
mobilepub;4.00;4.00;0.00;1127;1.85;1706703098.770973
mobilepub;0.00;4.00;0.00;C02A;1.92;1706703098.7710712
mobilepub;2.00;8.00;0.00;120F;3.89;1706703098.771105
mobilepub;4.00;4.00;0.00;1127;1.81;1706703098.8710012
mobilepub;0.00;4.00;0.00;C02A;1.93;1706703098.871101
mobilepub;2.00;8.00;0.00;120F;3.88;1706703098.8711216
mobilepub;4.00;4.00;0.00;1127;1.82;1706703098.9709737
mobilepub;0.00;4.00;0.00;C02A;1.85;1706703098.9710832
mobilepub;2.00;8.00;0.00;120F;3.96;1706703098.9711041
mobilepub;4.00;4.00;0.00;1127;1.85;1706703099.0709686
mobilepub;0.00;4.00;0.00;C02A;1.90;1706703099.0710635
mobilepub;2.00;8.00;0.00;120F;3.94;1706703099.0710871
mobilepub;4.00;4.00;0.00;1127;1.85;1706703099.1708744
mobilepub;0.00;4.00;0.00;C02A;1.92;1706703099.1709678
mobilepub;2.00;8.00;0.00;120F;3.95;1706703099.170988
mobilepub;4.00;4.00;0.00;1127;1.78;1706703099.2709692
mobilepub;0.00;4.00;0.00;C02A;1.92;1706703099.2710872
mobilepub;2.00;8.00;0.00;120F;3.83;1706703099.271111
mobilepub;4.00;4.00;0.00;1127;1.85;1706703099.3710303
mobilepub;0.00;4.00;0.00;C02A;1.93;1706703099.3711312
mobilepub;2.00;8.00;0.00;120F;3.93;1706703099.371157
mobilepub;4.00;4.00;0.00;1127;1.85;1706703099.4710932
mobilepub;0.00;4.00;0.00;C02A;1.90;1706703099.471199
mobilepub;2.00;8.00;0.00;120F;3.91;1706703099.471231
mobilepub;4.00;4.00;0.00;1127;1.80;1706703099.571014
mobilepub;0.00;4.00;0.00;C02A;1.89;1706703099.5711086
mobilepub;2.00;8.00;0.00;120F;3.86;1706703099.5711422
mobilepub;4.00;4.00;0.00;1127;1.81;1706703099.6709685
mobilepub;0.00;4.00;0.00;C02A;1.92;1706703099.6710641
mobilepub;2.00;8.00;0.00;120F;3.93;1706703099.6710942
mobilepub;4.00;4.00;0.00;1127;1.79;1706703099.7709742
mobilepub;0.00;4.00;0.00;C02A;1.92;1706703099.7710714
mobilepub;2.00;8.00;0.00;120F;3.89;1706703099.771093
mobilepub;4.00;4.00;0.00;1127;1.83;1706703099.8708549
mobilepub;0.00;4.00;0.00;C02A;1.92;1706703099.8709528
mobilepub;2.00;8.00;0.00;120F;3.89;1706703099.8709824
mobilepub;4.00;4.00;0.00;1127;1.83;1706703099.9709754
mobilepub;0.00;4.00;0.00;C02A;1.91;1706703099.9711006
mobilepub;2.00;8.00;0.00;120F;3.89;1706703099.9711554
