Anchor/Range;Anchor/Range;Anchor/Range;Anchor/Range;Estimated;Timestamp
P8[5.90,10.00,0.00]=3.87;P1[0.00,0.00,0.00]=9.99;P7[2.90,24.00,0.00]=13.90;null;[1.94,9.92,-1.00];19:33:06.990
P8[5.90,10.00,0.00]=3.92;P1[0.00,0.00,0.00]=9.93;P7[2.90,24.00,0.00]=13.93;null;[1.92,9.92,-0.94];19:33:06.991
P1[0.00,0.00,0.00]=10.01;P8[5.90,10.00,0.00]=3.92;P7[2.90,24.00,0.00]=13.95;null;[1.94,9.92,-0.39];19:33:06.991
P8[5.90,10.00,0.00]=3.86;P1[0.00,0.00,0.00]=9.92;P7[2.90,24.00,0.00]=13.94;null;[1.93,9.92,-0.48];19:33:06.992
P8[5.90,10.00,0.00]=3.85;P1[0.00,0.00,0.00]=10.01;P7[2.90,24.00,0.00]=13.90;null;[1.94,9.93,-0.61];19:33:06.992
P1[0.00,0.00,0.00]=9.98;P8[5.90,10.00,0.00]=3.88;P7[2.90,24.00,0.00]=13.94;null;[1.94,9.93,-0.20];19:33:06.993
P8[5.90,10.00,0.00]=3.84;P1[0.00,0.00,0.00]=9.97;P7[2.90,24.00,0.00]=13.80;null;[1.95,9.95,-0.47];19:33:06.994
P8[5.90,10.00,0.00]=3.85;P1[0.00,0.00,0.00]=9.93;P7[2.90,24.00,0.00]=13.92;null;[1.94,9.94,-0.51];19:33:06.994
P8[5.90,10.00,0.00]=3.87;P1[0.00,0.00,0.00]=9.97;P7[2.90,24.00,0.00]=13.85;null;[1.92,9.96,-0.49];19:33:07.010
P8[5.90,10.00,0.00]=3.90;P1[0.00,0.00,0.00]=9.93;P7[2.90,24.00,0.00]=13.96;null;[1.91,9.94,-0.60];19:33:07.110
P8[5.90,10.00,0.00]=3.86;P1[0.00,0.00,0.00]=10.00;P7[2.90,24.00,0.00]=13.97;null;[1.95,9.94,-0.77];19:33:07.211
P8[5.90,10.00,0.00]=3.86;P1[0.00,0.00,0.00]=9.91;P7[2.90,24.00,0.00]=13.89;null;[1.96,9.93,-0.93];19:33:07.310
P8[5.90,10.00,0.00]=3.88;P1[0.00,0.00,0.00]=9.90;P7[2.90,24.00,0.00]=13.90;null;[1.96,9.92,-1.05];19:33:07.410
P1[0.00,0.00,0.00]=9.98;P8[5.90,10.00,0.00]=3.88;P7[2.90,24.00,0.00]=13.89;null;[1.95,9.94,-0.58];19:33:07.610
P8[5.90,10.00,0.00]=3.85;P1[0.00,0.00,0.00]=9.95;P7[2.90,24.00,0.00]=13.86;null;[1.92,9.95,-0.44];19:33:07.710
P8[5.90,10.00,0.00]=3.89;P1[0.00,0.00,0.00]=9.91;P7[2.90,24.00,0.00]=13.99;null;[1.92,9.93,-0.57];19:33:07.810
P8[5.90,10.00,0.00]=3.84;P1[0.00,0.00,0.00]=9.96;P7[2.90,24.00,0.00]=13.86;null;[1.91,9.94,-0.50];19:33:07.910
P8[5.90,10.00,0.00]=3.89;P1[0.00,0.00,0.00]=10.00;P7[2.90,24.00,0.00]=13.89;null;[1.91,9.95,-0.60];19:33:08.010
P8[5.90,10.00,0.00]=3.85;P1[0.00,0.00,0.00]=9.91;P7[2.90,24.00,0.00]=13.98;null;[1.92,9.93,-0.68];19:33:08.110
P8[5.90,10.00,0.00]=3.83;P1[0.00,0.00,0.00]=9.93;P7[2.90,24.00,0.00]=13.97;null;[1.94,9.92,-0.75];19:33:08.210
P8[5.90,10.00,0.00]=3.84;P1[0.00,0.00,0.00]=9.90;P7[2.90,24.00,0.00]=14.05;null;[1.96,9.90,-0.86];19:33:08.310
P8[5.90,10.00,0.00]=3.85;P1[0.00,0.00,0.00]=9.99;P7[2.90,24.00,0.00]=13.95;null;[1.98,9.91,-0.93];19:33:08.410
P8[5.90,10.00,0.00]=3.90;P1[0.00,0.00,0.00]=9.96;P7[2.90,24.00,0.00]=13.90;null;[1.95,9.92,-0.88];19:33:08.510
