LS;Using
0.65;['P6', 'P5', 'P9']
0.77;['P6', 'P5', 'P9']
0.61;['P6', 'P5', 'P9']
0.64;['P6', 'P5', 'P9']
0.54;['P6', 'P5', 'P9']
0.66;['P6', 'P5', 'P9']
0.63;['P6', 'P5', 'P9']
0.57;['P6', 'P5', 'P9']
0.56;['P6', 'P5', 'P9']
0.54;['P6', 'P5', 'P9']
0.59;['P6', 'P5', 'P9']
1.15;['P6', 'P5', 'P9']
0.65;['P6', 'P5', 'P9']
0.55;['P6', 'P5', 'P9']
0.62;['P6', 'P5', 'P9']
0.6;['P6', 'P5', 'P9']
0.69;['P6', 'P5', 'P9']
0.62;['P6', 'P5', 'P9']
0.76;['P6', 'P5', 'P9']
0.66;['P6', 'P5', 'P9']
0.75;['P6', 'P5', 'P9']
0.65;['P6', 'P5', 'P9']
0.67;['P6', 'P5', 'P9']
0.65;['P6', 'P5', 'P9']
0.58;['P6', 'P5', 'P9']
0.72;['P6', 'P5', 'P9']
0.67;['P6', 'P5', 'P9']
0.67;['P6', 'P5', 'P9']
0.65;['P6', 'P5', 'P9']
0.65;['P6', 'P5', 'P9']
0.59;['P6', 'P5', 'P9']
0.65;['P6', 'P5', 'P9']
1.12;['P6', 'P5', 'P9']
0.62;['P6', 'P5', 'P9']
1.08;['P6', 'P5', 'P9']
1.12;['P6', 'P5', 'P9']
1.05;['P6', 'P5', 'P9']
0.62;['P6', 'P5', 'P9']
1.03;['P6', 'P5', 'P9']
0.68;['P6', 'P5', 'P9']
0.72;['P6', 'P5', 'P9']
1.14;['P6', 'P5', 'P9']
0.62;['P6', 'P5', 'P9']
0.65;['P6', 'P5', 'P9']
0.62;['P6', 'P5', 'P9']
0.7;['P6', 'P5', 'P9']
0.69;['P6', 'P5', 'P9']
0.72;['P6', 'P5', 'P9']
1.15;['P6', 'P5', 'P9']
0.64;['P6', 'P5', 'P9']
0.72;['P6', 'P5', 'P9']
0.49;['P6', 'P5', 'P9']
0.73;['P6', 'P5', 'P9']
1.1;['P6', 'P5', 'P9']
0.55;['P6', 'P5', 'P9']
0.67;['P6', 'P5', 'P9']
1.01;['P6', 'P5', 'P9']
1.58;['P6', 'P5', 'P9']
1.71;['P6', 'P5', 'P9']
1.15;['P6', 'P5', 'P9']
1.56;['P6', 'P9', 'P5']
1.56;['P6', 'P9', 'P5']
1.88;['P6', 'P9', 'P5']
1.21;['P6', 'P5', 'P9']
0.66;['P6', 'P5', 'P9']
0.62;['P6', 'P5', 'P9']
1.16;['P6', 'P5', 'P9']
1.08;['P6', 'P5', 'P9']
1.5;['P6', 'P5', 'P9']
1.1;['P6', 'P5', 'P9']
1.14;['P6', 'P5', 'P9']
0.52;['P6', 'P5', 'P9']
0.69;['P6', 'P5', 'P9']
1.11;['P6', 'P5', 'P9']
1.22;['P6', 'P5', 'P9']
1.16;['P6', 'P5', 'P9']
0.64;['P6', 'P5', 'P9']
0.61;['P6', 'P5', 'P9']
0.68;['P6', 'P5', 'P9']
0.62;['P6', 'P5', 'P9']
0.56;['P6', 'P5', 'P9']
0.64;['P6', 'P5', 'P9']
0.71;['P6', 'P5', 'P9']
0.65;['P6', 'P5', 'P9']
0.7;['P6', 'P5', 'P9']
0.69;['P6', 'P5', 'P9']
0.58;['P6', 'P5', 'P9']
0.72;['P6', 'P5', 'P9']
0.72;['P6', 'P5', 'P9']
0.71;['P6', 'P5', 'P9']
0.69;['P6', 'P5', 'P9']
0.71;['P6', 'P5', 'P9']
0.62;['P6', 'P5', 'P9']
0.65;['P6', 'P5', 'P9']
0.71;['P6', 'P5', 'P9']
0.74;['P6', 'P5', 'P9']
0.73;['P6', 'P5', 'P9']
0.78;['P6', 'P5', 'P9']
0.71;['P6', 'P5', 'P9']
0.71;['P6', 'P5', 'P9']
0.74;['P6', 'P5', 'P9']
0.79;['P6', 'P5', 'P9']
0.67;['P6', 'P5', 'P9']
0.77;['P6', 'P5', 'P9']
0.64;['P6', 'P5', 'P9']
0.72;['P6', 'P5', 'P9']
0.72;['P6', 'P5', 'P9']
0.7;['P6', 'P5', 'P9']
0.72;['P6', 'P5', 'P9']
0.75;['P6', 'P5', 'P9']
2.09;['P6', 'P5', 'P9']
3.2;['P6', 'P5', 'P9']
3.0;['P6', 'P5', 'P9']
0.78;['P6', 'P5', 'P9']
0.75;['P6', 'P5', 'P9']
0.74;['P6', 'P5', 'P9']
2.38;['P6', 'P5', 'P9']
0.74;['P6', 'P5', 'P9']
3.17;['P6', 'P5', 'P9']
3.01;['P6', 'P5', 'P9']
3.06;['P6', 'P5', 'P9']
3.19;['P6', 'P5', 'P9']
3.27;['P6', 'P5', 'P9']
1.85;['P6', 'P5', 'P9']
1.82;['P6', 'P5', 'P9']
1.41;['P6', 'P5', 'P9']
2.86;['P6', 'P5', 'P9']
2.95;['P6', 'P5', 'P9']
2.52;['P6', 'P5', 'P9']
3.1;['P6', 'P5', 'P9']
2.81;['P6', 'P5', 'P9']
2.33;['P6', 'P5', 'P9']
1.98;['P6', 'P5', 'P9']
2.43;['P6', 'P5', 'P9']
2.4;['P6', 'P5', 'P9']
2.38;['P6', 'P5', 'P9']
1.67;['P6', 'P5', 'P9']
1.66;['P6', 'P9', 'P5']
1.59;['P6', 'P9', 'P5']
2.55;['P6', 'P9', 'P5']
3.77;['P6', 'P9', 'P5']
2.63;['P6', 'P9', 'P5']
2.44;['P6', 'P9', 'P5']
3.28;['P6', 'P9', 'P5']
3.3;['P6', 'P9', 'P5']
1.67;['P6', 'P9', 'P5']
1.55;['P6', 'P9', 'P5']
2.42;['P6', 'P5', 'P9']
3.22;['P6', 'P5', 'P9']
3.51;['P6', 'P5', 'P9']
3.23;['P6', 'P5', 'P9']
1.82;['P6', 'P5', 'P9']
2.78;['P6', 'P5', 'P9']
1.88;['P6', 'P5', 'P9']
2.68;['P6', 'P5', 'P9']
1.76;['P6', 'P5', 'P9']
0.74;['P6', 'P5', 'P9']
1.81;['P6', 'P5', 'P9']
0.8;['P6', 'P5', 'P9']
0.69;['P6', 'P5', 'P9']
0.68;['P6', 'P5', 'P9']
0.74;['P6', 'P5', 'P9']
0.8;['P6', 'P5', 'P9']
0.67;['P6', 'P5', 'P9']
3.23;['P6', 'P5', 'P9']
1.81;['P6', 'P5', 'P9']
2.01;['P6', 'P5', 'P9']
0.69;['P6', 'P5', 'P9']
0.59;['P6', 'P5', 'P9']
0.61;['P6', 'P5', 'P9']
0.65;['P6', 'P5', 'P9']
0.67;['P6', 'P5', 'P9']
0.78;['P6', 'P5', 'P9']
0.69;['P6', 'P5', 'P9']
0.65;['P6', 'P5', 'P9']
0.69;['P6', 'P5', 'P9']
0.66;['P6', 'P5', 'P9']
0.68;['P6', 'P5', 'P9']
0.68;['P6', 'P5', 'P9']
0.6;['P6', 'P5', 'P9']
0.66;['P6', 'P5', 'P9']
0.74;['P6', 'P5', 'P9']
0.73;['P6', 'P5', 'P9']
0.7;['P6', 'P5', 'P9']
0.66;['P6', 'P5', 'P9']
0.74;['P6', 'P5', 'P9']
0.68;['P6', 'P5', 'P9']
0.77;['P6', 'P5', 'P9']
0.69;['P6', 'P5', 'P9']
0.73;['P6', 'P5', 'P9']
0.72;['P6', 'P5', 'P9']
0.7;['P6', 'P5', 'P9']
0.72;['P6', 'P5', 'P9']
0.7;['P6', 'P5', 'P9']
0.69;['P6', 'P5', 'P9']
0.71;['P6', 'P5', 'P9']
0.76;['P6', 'P5', 'P9']
0.7;['P6', 'P5', 'P9']
0.72;['P6', 'P5', 'P9']
0.7;['P6', 'P5', 'P9']
0.7;['P6', 'P5', 'P9']
0.69;['P6', 'P5', 'P9']
0.72;['P6', 'P5', 'P9']
0.82;['P6', 'P5', 'P9']
0.68;['P6', 'P5', 'P9']
0.73;['P6', 'P5', 'P9']
0.72;['P6', 'P5', 'P9']
0.72;['P6', 'P5', 'P9']
0.63;['P6', 'P5', 'P9']
0.63;['P6', 'P5', 'P9']
0.73;['P6', 'P5', 'P9']
0.74;['P6', 'P5', 'P9']
0.66;['P6', 'P5', 'P9']
0.66;['P6', 'P5', 'P9']
0.76;['P6', 'P5', 'P9']
0.77;['P6', 'P5', 'P9']
0.69;['P6', 'P5', 'P9']
0.67;['P6', 'P5', 'P9']
0.68;['P6', 'P5', 'P9']
0.67;['P6', 'P5', 'P9']
0.72;['P6', 'P5', 'P9']
0.83;['P6', 'P5', 'P9']
0.71;['P6', 'P5', 'P9']
0.74;['P6', 'P5', 'P9']
0.72;['P6', 'P5', 'P9']
0.78;['P6', 'P5', 'P9']
0.78;['P6', 'P5', 'P9']
0.67;['P6', 'P5', 'P9']
0.67;['P6', 'P5', 'P9']
0.72;['P6', 'P5', 'P9']
0.6;['P6', 'P5', 'P9']
0.67;['P6', 'P5', 'P9']
0.7;['P6', 'P5', 'P9']
0.63;['P6', 'P5', 'P9']
0.63;['P6', 'P5', 'P9']
1.15;['P6', 'P5', 'P9']
0.72;['P6', 'P5', 'P9']
0.69;['P6', 'P5', 'P9']
0.71;['P6', 'P5', 'P9']
3.26;['P6', 'P5', 'P9']
2.2;['P6', 'P5', 'P9']
1.06;['P6', 'P5', 'P9']
1.1;['P6', 'P5', 'P9']
3.37;['P6', 'P5', 'P9']
0.68;['P6', 'P5', 'P9']
0.69;['P6', 'P5', 'P9']
1.09;['P6', 'P5', 'P9']
1.14;['P6', 'P5', 'P9']
1.14;['P6', 'P5', 'P9']
0.72;['P6', 'P5', 'P9']
0.85;['P6', 'P5', 'P9']
0.85;['P6', 'P5', 'P9']
0.77;['P6', 'P5', 'P9']
0.76;['P6', 'P5', 'P9']
2.22;['P6', 'P5', 'P9']
0.75;['P6', 'P5', 'P9']
1.06;['P6', 'P5', 'P9']
1.09;['P6', 'P5', 'P9']
1.09;['P6', 'P5', 'P9']
1.39;['P6', 'P5', 'P9']
1.17;['P6', 'P5', 'P9']
1.81;['P6', 'P5', 'P9']
1.75;['P6', 'P5', 'P9']
2.02;['P6', 'P5', 'P9']
0.77;['P6', 'P5', 'P9']
1.18;['P6', 'P5', 'P9']
1.07;['P6', 'P5', 'P9']
1.03;['P6', 'P5', 'P9']
2.42;['P9', 'P6', 'P5']
2.08;['P6', 'P5', 'P9']
0.71;['P6', 'P5', 'P9']
1.29;['P6', 'P5', 'P9']
0.81;['P6', 'P5', 'P9']
0.85;['P6', 'P5', 'P9']
0.85;['P6', 'P5', 'P9']
0.85;['P6', 'P5', 'P9']
0.89;['P6', 'P5', 'P9']
1.03;['P6', 'P5', 'P9']
0.9;['P6', 'P5', 'P9']
0.85;['P6', 'P5', 'P9']
0.92;['P6', 'P5', 'P9']
0.84;['P6', 'P5', 'P9']
0.81;['P6', 'P5', 'P9']
0.84;['P6', 'P5', 'P9']
0.81;['P6', 'P5', 'P9']
1.27;['P6', 'P5', 'P9']
1.33;['P6', 'P5', 'P9']
0.8;['P6', 'P5', 'P9']
0.63;['P6', 'P5', 'P9']
0.84;['P6', 'P5', 'P9']
0.77;['P6', 'P5', 'P9']
0.74;['P6', 'P5', 'P9']
0.7;['P6', 'P5', 'P9']
0.75;['P6', 'P5', 'P9']
0.83;['P6', 'P5', 'P9']
0.81;['P6', 'P5', 'P9']
0.7;['P6', 'P5', 'P9']
0.69;['P6', 'P5', 'P9']
0.67;['P6', 'P5', 'P9']
0.59;['P6', 'P5', 'P9']
0.72;['P6', 'P5', 'P9']
0.59;['P6', 'P5', 'P9']
0.61;['P6', 'P5', 'P9']
0.65;['P6', 'P5', 'P9']
