Anchor/Range;Anchor/Range;Anchor/Range;Anchor/Range;Estimated;Timestamp
P6[6.70,18.03,0.00]=2.87;P5[13.00,24.00,0.00]=5.80;P7[2.90,24.00,0.00]=6.43;null;[8.24,20.38,0.80];19:21:03.052
P6[6.70,18.03,0.00]=2.86;P5[13.00,24.00,0.00]=5.80;P9[13.00,16.50,0.00]=6.77;P7[2.90,24.00,0.00]=6.45;[8.27,20.39,0.75];19:21:03.053
P6[6.70,18.03,0.00]=2.89;P5[13.00,24.00,0.00]=5.77;P9[13.00,16.50,0.00]=6.88;P7[2.90,24.00,0.00]=6.45;[8.29,20.40,0.70];19:21:03.053
P6[6.70,18.03,0.00]=2.89;P5[13.00,24.00,0.00]=5.80;P9[13.00,16.50,0.00]=6.72;P7[2.90,24.00,0.00]=6.47;[8.31,20.40,0.70];19:21:03.054
P6[6.70,18.03,0.00]=2.89;P5[13.00,24.00,0.00]=5.84;P9[13.00,16.50,0.00]=6.75;P7[2.90,24.00,0.00]=6.50;[8.32,20.40,0.73];19:21:03.054
P6[6.70,18.03,0.00]=2.87;P5[13.00,24.00,0.00]=5.82;P9[13.00,16.50,0.00]=6.65;P7[2.90,24.00,0.00]=6.48;[8.33,20.40,0.72];19:21:03.055
P6[6.70,18.03,0.00]=2.84;P5[13.00,24.00,0.00]=5.81;P9[13.00,16.50,0.00]=6.78;P7[2.90,24.00,0.00]=6.48;[8.34,20.39,0.68];19:21:03.056
P6[6.70,18.03,0.00]=2.63;P5[13.00,24.00,0.00]=5.82;P9[13.00,16.50,0.00]=6.78;P7[2.90,24.00,0.00]=6.40;[8.33,20.36,0.66];19:21:03.056
P6[6.70,18.03,0.00]=2.85;P5[13.00,24.00,0.00]=5.84;P9[13.00,16.50,0.00]=6.69;P7[2.90,24.00,0.00]=6.39;[8.32,20.38,0.65];19:21:03.057
P6[6.70,18.03,0.00]=2.89;P5[13.00,24.00,0.00]=5.84;P9[13.00,16.50,0.00]=6.67;P7[2.90,24.00,0.00]=6.50;[8.33,20.38,0.69];19:21:03.057
P6[6.70,18.03,0.00]=2.84;P5[13.00,24.00,0.00]=5.83;P9[13.00,16.50,0.00]=6.65;P7[2.90,24.00,0.00]=6.49;[8.34,20.38,0.68];19:21:03.057
P6[6.70,18.03,0.00]=2.88;P5[13.00,24.00,0.00]=5.83;P9[13.00,16.50,0.00]=6.71;P7[2.90,24.00,0.00]=6.44;[8.34,20.39,0.68];19:21:03.057
P6[6.70,18.03,0.00]=2.88;P5[13.00,24.00,0.00]=5.84;P9[13.00,16.50,0.00]=7.31;P7[2.90,24.00,0.00]=6.48;[8.34,20.39,0.70];19:21:03.121
P6[6.70,18.03,0.00]=2.87;P5[13.00,24.00,0.00]=5.83;P9[13.00,16.50,0.00]=6.77;P7[2.90,24.00,0.00]=6.48;[8.34,20.39,0.71];19:21:03.220
P6[6.70,18.03,0.00]=2.87;P5[13.00,24.00,0.00]=5.78;P9[13.00,16.50,0.00]=6.66;P7[2.90,24.00,0.00]=6.47;[8.35,20.39,0.67];19:21:03.320
P6[6.70,18.03,0.00]=2.90;P5[13.00,24.00,0.00]=5.82;P9[13.00,16.50,0.00]=6.74;P7[2.90,24.00,0.00]=6.43;[8.34,20.41,0.69];19:21:03.421
P6[6.70,18.03,0.00]=2.89;P5[13.00,24.00,0.00]=5.78;P9[13.00,16.50,0.00]=6.71;P7[2.90,24.00,0.00]=6.49;[8.36,20.41,0.67];19:21:03.520
P6[6.70,18.03,0.00]=2.89;P5[13.00,24.00,0.00]=5.79;P9[13.00,16.50,0.00]=6.80;P7[2.90,24.00,0.00]=6.43;[8.35,20.42,0.66];19:21:03.620
P6[6.70,18.03,0.00]=2.90;P5[13.00,24.00,0.00]=5.79;P9[13.00,16.50,0.00]=6.73;P7[2.90,24.00,0.00]=6.48;[8.36,20.42,0.67];19:21:03.720
P6[6.70,18.03,0.00]=2.92;P5[13.00,24.00,0.00]=5.80;P9[13.00,16.50,0.00]=6.88;P7[2.90,24.00,0.00]=6.42;[8.35,20.43,0.68];19:21:03.820
P6[6.70,18.03,0.00]=2.90;P5[13.00,24.00,0.00]=5.80;P9[13.00,16.50,0.00]=6.77;P7[2.90,24.00,0.00]=6.45;[8.35,20.43,0.69];19:21:03.921
P6[6.70,18.03,0.00]=2.91;P5[13.00,24.00,0.00]=5.78;P9[13.00,16.50,0.00]=6.87;P7[2.90,24.00,0.00]=6.41;[8.35,20.44,0.67];19:21:04.021
P6[6.70,18.03,0.00]=2.90;P5[13.00,24.00,0.00]=5.84;P9[13.00,16.50,0.00]=6.77;P7[2.90,24.00,0.00]=6.39;[8.33,20.45,0.69];19:21:04.121
