P7;Erro
6.43;0.05999
6.45;0.03999
6.45;0.03999
6.47;0.01999
6.5;0.01001
6.48;0.009989999999999
6.48;0.009989999999999
6.4;0.089989999999999
6.39;0.09999
6.5;0.01001
6.49;1.00000000005096E-05
6.44;0.049989999999999
6.48;0.009989999999999
6.48;0.009989999999999
6.47;0.01999
6.43;0.05999
6.49;1.00000000005096E-05
6.43;0.05999
6.48;0.009989999999999
6.42;0.06999
6.45;0.03999
6.41;0.07999
6.39;0.09999
6.51;0.02001
6.44;0.049989999999999
6.46;0.02999
6.45;0.03999
6.46;0.02999
6.46;0.02999
6.42;0.06999
6.47;0.01999
6.39;0.09999
6.44;0.049989999999999
6.44;0.049989999999999
6.37;0.11999
6.43;0.05999
6.43;0.05999
6.42;0.06999
6.44;0.049989999999999
6.46;0.02999
6.44;0.049989999999999
6.44;0.049989999999999
6.34;0.14999
6.44;0.049989999999999
6.49;1.00000000005096E-05
6.39;0.09999
6.39;0.09999
6.4;0.089989999999999
6.41;0.07999
6.43;0.05999
6.42;0.06999
6.42;0.06999
6.5;0.01001
6.47;0.01999
6.5;0.01001
6.42;0.06999
6.39;0.09999
6.46;0.02999
6.41;0.07999
6.39;0.09999
6.44;0.049989999999999
6.48;0.009989999999999
6.46;0.02999
6.44;0.049989999999999
6.49;1.00000000005096E-05
6.44;0.049989999999999
6.39;0.09999
6.51;0.02001
6.45;0.03999
6.44;0.049989999999999
6.46;0.02999
6.41;0.07999
6.45;0.03999
6.37;0.11999
6.36;0.129989999999999
6.38;0.10999
6.39;0.09999
6.32;0.169989999999999
6.39;0.09999
6.44;0.049989999999999
6.44;0.049989999999999
6.44;0.049989999999999
6.43;0.05999
6.45;0.03999
6.44;0.049989999999999
6.46;0.02999
6.38;0.10999
6.45;0.03999
6.44;0.049989999999999
6.44;0.049989999999999
6.42;0.06999
6.45;0.03999
6.43;0.05999
6.43;0.05999
6.45;0.03999
6.44;0.049989999999999
6.42;0.06999
6.38;0.10999
6.44;0.049989999999999
6.43;0.05999
6.43;0.05999
6.42;0.06999
6.45;0.03999
6.47;0.01999
6.44;0.049989999999999
6.38;0.10999
6.39;0.09999
6.42;0.06999
6.41;0.07999
6.44;0.049989999999999
6.45;0.03999
6.42;0.06999
6.39;0.09999
6.4;0.089989999999999
6.41;0.07999
6.39;0.09999
6.45;0.03999
6.41;0.07999
6.44;0.049989999999999
6.46;0.02999
6.42;0.06999
6.5;0.01001
6.46;0.02999
6.45;0.03999
6.46;0.02999
6.47;0.01999
6.45;0.03999
6.48;0.009989999999999
6.44;0.049989999999999
6.34;0.14999
6.39;0.09999
6.36;0.129989999999999
6.38;0.10999
6.34;0.14999
6.44;0.049989999999999
6.43;0.05999
6.41;0.07999
6.45;0.03999
6.43;0.05999
6.4;0.089989999999999
6.43;0.05999
6.45;0.03999
6.44;0.049989999999999
6.38;0.10999
6.49;1.00000000005096E-05
6.41;0.07999
6.49;1.00000000005096E-05
6.47;0.01999
6.49;1.00000000005096E-05
6.52;0.03001
6.42;0.06999
6.47;0.01999
6.46;0.02999
6.48;0.009989999999999
6.43;0.05999
6.48;0.009989999999999
6.41;0.07999
6.44;0.049989999999999
6.39;0.09999
6.44;0.049989999999999
6.41;0.07999
6.45;0.03999
6.38;0.10999
6.47;0.01999
6.44;0.049989999999999
6.44;0.049989999999999
6.47;0.01999
6.44;0.049989999999999
6.38;0.10999
6.44;0.049989999999999
6.36;0.129989999999999
6.41;0.07999
6.38;0.10999
6.38;0.10999
6.44;0.049989999999999
6.37;0.11999
6.32;0.169989999999999
6.39;0.09999
6.38;0.10999
6.33;0.15999
6.39;0.09999
6.49;1.00000000005096E-05
6.48;0.009989999999999
6.46;0.02999
6.44;0.049989999999999
6.46;0.02999
6.39;0.09999
6.49;1.00000000005096E-05
6.41;0.07999
6.39;0.09999
6.4;0.089989999999999
6.45;0.03999
6.45;0.03999
6.49;1.00000000005096E-05
6.49;1.00000000005096E-05
6.42;0.06999
6.45;0.03999
6.48;0.009989999999999
6.43;0.05999
6.43;0.05999
6.47;0.01999
6.44;0.049989999999999
6.44;0.049989999999999
6.41;0.07999
6.5;0.01001
6.53;0.040010000000001
6.48;0.009989999999999
6.44;0.049989999999999
6.5;0.01001
6.45;0.03999
6.46;0.02999
6.51;0.02001
6.49;1.00000000005096E-05
6.42;0.06999
6.47;0.01999
6.5;0.01001
6.44;0.049989999999999
6.51;0.02001
6.46;0.02999
6.47;0.01999
6.48;0.009989999999999
6.35;0.13999
6.45;0.03999
6.38;0.10999
6.39;0.09999
6.45;0.03999
6.45;0.03999
6.42;0.06999
6.45;0.03999
6.45;0.03999
6.38;0.10999
6.39;0.09999
6.41;0.07999
6.36;0.129989999999999
6.43;0.05999
6.42;0.06999
6.44;0.049989999999999
6.41;0.07999
6.44;0.049989999999999
6.45;0.03999
6.44;0.049989999999999
6.41;0.07999
6.49;1.00000000005096E-05
6.45;0.03999
6.45;0.03999
6.34;0.14999
6.45;0.03999
6.41;0.07999
6.39;0.09999
6.44;0.049989999999999
6.46;0.02999
6.41;0.07999
6.43;0.05999
6.4;0.089989999999999
6.46;0.02999
6.41;0.07999
6.46;0.02999
6.45;0.03999
6.42;0.06999
6.42;0.06999
6.44;0.049989999999999
6.46;0.02999
6.44;0.049989999999999
6.39;0.09999
6.53;0.040010000000001
6.42;0.06999
6.42;0.06999
6.38;0.10999
6.28;0.209989999999999
6.49;1.00000000005096E-05
6.38;0.10999
6.38;0.10999
6.37;0.11999
6.39;0.09999
6.39;0.09999
6.4;0.089989999999999
6.45;0.03999
6.43;0.05999
6.43;0.05999
6.45;0.03999
6.44;0.049989999999999
6.35;0.13999
6.43;0.05999
6.45;0.03999
6.34;0.14999
6.35;0.13999
6.35;0.13999
6.42;0.06999
6.41;0.07999
6.47;0.01999
6.42;0.06999
6.44;0.049989999999999
6.41;0.07999
6.45;0.03999
6.34;0.14999
6.39;0.09999
6.41;0.07999
6.38;0.10999
6.39;0.09999
6.31;0.17999
6.31;0.17999
6.36;0.129989999999999
6.33;0.15999
6.42;0.06999
6.34;0.14999
6.45;0.03999
6.44;0.049989999999999
6.38;0.10999
6.39;0.09999
6.41;0.07999
6.4;0.089989999999999
6.33;0.15999
6.46;0.02999
6.33;0.15999
6.39;0.09999
6.42;0.06999
6.42;0.06999
6.41;0.07999
6.32;0.169989999999999
6.39;0.09999
6.37;0.11999
6.36;0.129989999999999
6.44;0.049989999999999
6.36;0.129989999999999
6.43;0.05999
6.4;0.089989999999999
6.39;0.09999
6.43;0.05999
6.42;0.06999
6.32;0.169989999999999
6.39;0.09999
6.4;0.089989999999999
6.41;0.07999
6.44;0.049989999999999
6.39;0.09999
6.38;0.10999
6.43;0.05999
6.41;0.07999
6.36;0.129989999999999
6.42;0.06999
6.41;0.07999
6.48;0.009989999999999
6.41;0.07999
6.46;0.02999
6.44;0.049989999999999
6.44;0.049989999999999
6.42;0.06999
