Anchor/Range;Anchor/Range;Anchor/Range;Anchor/Range;LS_Estimated;DWM_Estimated;Timestamp;X_DWM;Y_DWM;X_LS;Y_LS;GROUND_X;GROUND_Y;ERRO_X_LS;ERRO_Y_LS;ERRO_X_DWM;ERRO_Y_DWM;ERRO LS;ERRO_DWM
P8[5.90,10.00,0.00]=3.87;P1[0.00,0.00,0.00]=9.99;P7[2.90,24.00,0.00]=13.90;null;[1.88, 10.03, 0.0];[1.94,9.92,-1.00];19:33:06.990;1.94;9.92;1.88;10.03;2;10;0.12;-0.03;0.06;0.08;0.12;0.1
P8[5.90,10.00,0.00]=3.92;P1[0.00,0.00,0.00]=9.93;P7[2.90,24.00,0.00]=13.93;null;[1.83, 9.99, 0.0];[1.92,9.92,-0.94];19:33:06.991;1.92;9.92;1.83;9.99;2;10;0.17;0.01;0.08;0.08;0.17;0.11
P1[0.00,0.00,0.00]=10.01;P8[5.90,10.00,0.00]=3.92;P7[2.90,24.00,0.00]=13.95;null;[1.86, 10.0, 0.0];[1.94,9.92,-0.39];19:33:06.991;1.94;9.92;1.86;10.0;2;10;0.14;0.0;0.06;0.08;0.14;0.1
P8[5.90,10.00,0.00]=3.86;P1[0.00,0.00,0.00]=9.92;P7[2.90,24.00,0.00]=13.94;null;[1.87, 9.98, 0.0];[1.93,9.92,-0.48];19:33:06.992;1.93;9.92;1.87;9.98;2;10;0.13;0.02;0.07;0.08;0.13;0.11
P8[5.90,10.00,0.00]=3.85;P1[0.00,0.00,0.00]=10.01;P7[2.90,24.00,0.00]=13.90;null;[1.9, 10.03, 0.0];[1.94,9.93,-0.61];19:33:06.992;1.94;9.93;1.9;10.03;2;10;0.1;-0.03;0.06;0.07;0.1;0.09
P1[0.00,0.00,0.00]=9.98;P8[5.90,10.00,0.00]=3.88;P7[2.90,24.00,0.00]=13.94;null;[1.88, 10.0, 0.0];[1.94,9.93,-0.20];19:33:06.993;1.94;9.93;1.88;10.0;2;10;0.12;0.0;0.06;0.07;0.12;0.09
P8[5.90,10.00,0.00]=3.84;P1[0.00,0.00,0.00]=9.97;P7[2.90,24.00,0.00]=13.80;null;[1.86, 10.09, 0.0];[1.95,9.95,-0.47];19:33:06.994;1.95;9.95;1.86;10.09;2;10;0.14;-0.09;0.05;0.05;0.17;0.07
P8[5.90,10.00,0.00]=3.85;P1[0.00,0.00,0.00]=9.93;P7[2.90,24.00,0.00]=13.92;null;[1.88, 9.99, 0.0];[1.94,9.94,-0.51];19:33:06.994;1.94;9.94;1.88;9.99;2;10;0.12;0.01;0.06;0.06;0.12;0.08
P8[5.90,10.00,0.00]=3.87;P1[0.00,0.00,0.00]=9.97;P7[2.90,24.00,0.00]=13.85;null;[1.85, 10.06, 0.0];[1.92,9.96,-0.49];19:33:07.010;1.92;9.96;1.85;10.06;2;10;0.15;-0.06;0.08;0.04;0.16;0.09
P8[5.90,10.00,0.00]=3.90;P1[0.00,0.00,0.00]=9.93;P7[2.90,24.00,0.00]=13.96;null;[1.85, 9.97, 0.0];[1.91,9.94,-0.60];19:33:07.110;1.91;9.94;1.85;9.97;2;10;0.15;0.03;0.09;0.06;0.15;0.11
P8[5.90,10.00,0.00]=3.86;P1[0.00,0.00,0.00]=10.00;P7[2.90,24.00,0.00]=13.97;null;[1.91, 9.98, 0.0];[1.95,9.94,-0.77];19:33:07.211;1.95;9.94;1.91;9.98;2;10;0.09;0.02;0.05;0.06;0.09;0.08
P8[5.90,10.00,0.00]=3.86;P1[0.00,0.00,0.00]=9.91;P7[2.90,24.00,0.00]=13.89;null;[1.85, 10.01, 0.0];[1.96,9.93,-0.93];19:33:07.310;1.96;9.93;1.85;10.01;2;10;0.15;-0.01;0.04;0.07;0.15;0.08
P8[5.90,10.00,0.00]=3.88;P1[0.00,0.00,0.00]=9.90;P7[2.90,24.00,0.00]=13.90;null;[1.84, 10.0, 0.0];[1.96,9.92,-1.05];19:33:07.410;1.96;9.92;1.84;10.0;2;10;0.16;0.0;0.04;0.08;0.16;0.09
