Anchor/Range;Anchor/Range;Anchor/Range;Anchor/Range;LS_Estimated;DWM_Estimated;Timestamp;X_DWM;Y_DWM;X_LS;Y_LS;GROUND_X;GROUND_Y;ERRO_X_LS;ERRO_Y_LS;ERRO_X_DWM;ERRO_Y_DWM
P4[11.00,11.00,0.00]=1.01;P9[13.00,16.50,0.00]=5.84;P3[13.00,0.00,0.00]=10.01;null;[12.62, 10.19, 0.0];[12.15,10.33,-0.53];19:37:56.298;12.15;10.33;12.62;10.19;12;10;-0.62;-0.19;-0.15;-0.33
P4[11.00,11.00,0.00]=1.04;P9[13.00,16.50,0.00]=5.82;P3[13.00,0.00,0.00]=9.88;null;[12.66, 10.11, -0.0];[12.13,10.33,-0.61];19:37:56.299;12.13;10.33;12.66;10.11;12;10;-0.66;-0.11;-0.13;-0.33
P4[11.00,11.00,0.00]=0.96;P9[13.00,16.50,0.00]=5.80;P3[13.00,0.00,0.00]=10.09;null;[12.61, 10.26, 0.0];[12.10,10.35,-0.63];19:37:56.883;12.10;10.35;12.61;10.26;12;10;-0.61;-0.26;-0.1;-0.35
P4[11.00,11.00,0.00]=0.98;P9[13.00,16.50,0.00]=5.73;P3[13.00,0.00,0.00]=9.97;null;[12.65, 10.19, -0.0];[12.10,10.36,-0.67];19:37:56.983;12.10;10.36;12.65;10.19;12;10;-0.65;-0.19;-0.1;-0.36
P4[11.00,11.00,0.00]=0.98;P9[13.00,16.50,0.00]=5.84;P3[13.00,0.00,0.00]=10.03;null;[12.61, 10.2, 0.0];[12.08,10.36,-0.67];19:37:57.083;12.08;10.36;12.61;10.2;12;10;-0.61;-0.2;-0.08;-0.36
P4[11.00,11.00,0.00]=1.02;P9[13.00,16.50,0.00]=5.84;P3[13.00,0.00,0.00]=10.17;null;[12.58, 10.3, -0.0];[12.10,10.38,-0.58];19:37:57.182;12.10;10.38;12.58;10.3;12;10;-0.58;-0.3;-0.1;-0.38
P4[11.00,11.00,0.00]=1.00;P9[13.00,16.50,0.00]=5.66;P3[13.00,0.00,0.00]=10.19;null;[12.64, 10.36, -0.0];[12.11,10.42,-0.60];19:37:57.283;12.11;10.42;12.64;10.36;12;10;-0.64;-0.36;-0.11;-0.42
P4[11.00,11.00,0.00]=1.01;P9[13.00,16.50,0.00]=5.72;P3[13.00,0.00,0.00]=10.02;null;[12.65, 10.23, 0.0];[12.09,10.42,-0.69];19:37:57.383;12.09;10.42;12.65;10.23;12;10;-0.65;-0.23;-0.09;-0.42
P4[11.00,11.00,0.00]=0.97;P9[13.00,16.50,0.00]=5.82;P3[13.00,0.00,0.00]=9.99;null;[12.62, 10.18, -0.0];[12.10,10.40,-0.62];19:37:57.583;12.10;10.40;12.62;10.18;12;10;-0.62;-0.18;-0.1;-0.4
P4[11.00,11.00,0.00]=1.01;P9[13.00,16.50,0.00]=5.78;P3[13.00,0.00,0.00]=10.21;null;[12.59, 10.34, 0.0];[12.13,10.42,-0.49];19:37:57.683;12.13;10.42;12.59;10.34;12;10;-0.59;-0.34;-0.13;-0.42
P4[11.00,11.00,0.00]=1.02;P9[13.00,16.50,0.00]=5.79;P3[13.00,0.00,0.00]=9.95;null;[12.65, 10.16, 0.0];[12.10,10.41,-0.60];19:37:57.784;12.10;10.41;12.65;10.16;12;10;-0.65;-0.16;-0.1;-0.41
P4[11.00,11.00,0.00]=1.05;P9[13.00,16.50,0.00]=5.75;P3[13.00,0.00,0.00]=9.92;null;[12.67, 10.15, 0.0];[12.11,10.39,-0.66];19:37:58.083;12.11;10.39;12.67;10.15;12;10;-0.67;-0.15;-0.11;-0.39
P4[11.00,11.00,0.00]=1.04;P9[13.00,16.50,0.00]=5.75;P3[13.00,0.00,0.00]=9.96;null;[12.66, 10.18, -0.0];[12.11,10.39,-0.71];19:37:58.183;12.11;10.39;12.66;10.18;12;10;-0.66;-0.18;-0.11;-0.39
P4[11.00,11.00,0.00]=1.00;P9[13.00,16.50,0.00]=5.75;P3[13.00,0.00,0.00]=9.97;null;[12.65, 10.19, 0.0];[12.09,10.39,-0.76];19:37:58.483;12.09;10.39;12.65;10.19;12;10;-0.65;-0.19;-0.09;-0.39
P4[11.00,11.00,0.00]=0.96;P9[13.00,16.50,0.00]=5.69;P3[13.00,0.00,0.00]=9.94;null;[12.67, 10.18, -0.0];[12.11,10.39,-0.72];19:37:59.483;12.11;10.39;12.67;10.18;12;10;-0.67;-0.18;-0.11;-0.39
P4[11.00,11.00,0.00]=1.00;P9[13.00,16.50,0.00]=5.68;P3[13.00,0.00,0.00]=10.04;null;[12.66, 10.25, 0.0];[12.10,10.41,-0.77];19:37:59.684;12.10;10.41;12.66;10.25;12;10;-0.66;-0.25;-0.1;-0.41
P4[11.00,11.00,0.00]=0.97;P9[13.00,16.50,0.00]=5.64;P3[13.00,0.00,0.00]=10.07;null;[12.66, 10.28, 0.0];[12.09,10.43,-0.79];19:37:59.883;12.09;10.43;12.66;10.28;12;10;-0.66;-0.28;-0.09;-0.43
P4[11.00,11.00,0.00]=0.94;P9[13.00,16.50,0.00]=5.60;P3[13.00,0.00,0.00]=10.07;null;[12.67, 10.29, -0.0];[12.11,10.45,-0.78];19:38:00.083;12.11;10.45;12.67;10.29;12;10;-0.67;-0.29;-0.11;-0.45
P4[11.00,11.00,0.00]=0.91;P9[13.00,16.50,0.00]=5.67;P3[13.00,0.00,0.00]=10.01;null;[12.65, 10.23, 0.0];[12.10,10.45,-0.77];19:38:00.583;12.10;10.45;12.65;10.23;12;10;-0.65;-0.23;-0.1;-0.45
P4[11.00,11.00,0.00]=0.90;P9[13.00,16.50,0.00]=5.73;P3[13.00,0.00,0.00]=10.06;null;[12.63, 10.25, 0.0];[12.11,10.44,-0.63];19:38:00.883;12.11;10.44;12.63;10.25;12;10;-0.63;-0.25;-0.11;-0.44
P4[11.00,11.00,0.00]=0.98;P9[13.00,16.50,0.00]=5.64;P3[13.00,0.00,0.00]=10.09;null;[12.66, 10.29, 0.0];[12.09,10.46,-0.70];19:38:01.183;12.09;10.46;12.66;10.29;12;10;-0.66;-0.29;-0.09;-0.46
P4[11.00,11.00,0.00]=0.97;P9[13.00,16.50,0.00]=5.66;P3[13.00,0.00,0.00]=10.03;null;[12.66, 10.25, 0.0];[12.10,10.46,-0.73];19:38:01.683;12.10;10.46;12.66;10.25;12;10;-0.66;-0.25;-0.1;-0.46
P4[11.00,11.00,0.00]=0.99;P9[13.00,16.50,0.00]=5.64;P3[13.00,0.00,0.00]=9.93;null;[12.68, 10.19, 0.0];[12.15,10.44,-0.63];19:38:02.083;12.15;10.44;12.68;10.19;12;10;-0.68;-0.19;-0.15;-0.44
P4[11.00,11.00,0.00]=0.90;P9[13.00,16.50,0.00]=5.62;P3[13.00,0.00,0.00]=10.01;null;[12.66, 10.24, 0.0];[12.16,10.45,-0.61];19:38:02.883;12.16;10.45;12.66;10.24;12;10;-0.66;-0.24;-0.16;-0.45
P4[11.00,11.00,0.00]=0.97;P9[13.00,16.50,0.00]=5.67;P3[13.00,0.00,0.00]=9.98;null;[12.67, 10.21, 0.0];[12.16,10.44,-0.62];19:38:03.083;12.16;10.44;12.67;10.21;12;10;-0.67;-0.21;-0.16;-0.44
P4[11.00,11.00,0.00]=0.93;P9[13.00,16.50,0.00]=5.64;P3[13.00,0.00,0.00]=9.97;null;[12.67, 10.21, -0.0];[12.18,10.44,-0.58];19:38:03.383;12.18;10.44;12.67;10.21;12;10;-0.67;-0.21;-0.18;-0.44
P4[11.00,11.00,0.00]=0.91;P9[13.00,16.50,0.00]=5.63;P3[13.00,0.00,0.00]=9.97;null;[12.67, 10.22, -0.0];[12.19,10.44,-0.54];19:38:03.583;12.19;10.44;12.67;10.22;12;10;-0.67;-0.22;-0.19;-0.44
P4[11.00,11.00,0.00]=0.93;P9[13.00,16.50,0.00]=5.60;P3[13.00,0.00,0.00]=9.99;null;[12.68, 10.24, 0.0];[12.21,10.44,-0.51];19:38:03.783;12.21;10.44;12.68;10.24;12;10;-0.68;-0.24;-0.21;-0.44
P4[11.00,11.00,0.00]=0.92;P9[13.00,16.50,0.00]=5.71;P3[13.00,0.00,0.00]=9.96;null;[12.65, 10.19, 0.0];[12.18,10.43,-0.54];19:38:03.983;12.18;10.43;12.65;10.19;12;10;-0.65;-0.19;-0.18;-0.43
P4[11.00,11.00,0.00]=0.91;P9[13.00,16.50,0.00]=5.65;P3[13.00,0.00,0.00]=9.95;null;[12.67, 10.2, -0.0];[12.19,10.43,-0.51];19:38:04.082;12.19;10.43;12.67;10.2;12;10;-0.67;-0.2;-0.19;-0.43
