Anchor/Range;Anchor/Range;Anchor/Range;Anchor/Range;Estimated
P1[0.00,0.00,0.00]=2.37;P2[8.00,2.40,0.00]=6.08;P8[5.90,10.00,0.00]=9.48;null;[1.96,1.20,0.65]
P1[0.00,0.00,0.00]=2.23;P2[8.00,2.40,0.00]=5.83;P3[13.00,0.00,0.00]=11.25;P8[5.90,10.00,0.00]=9.33;[1.98,1.20,0.70]
P1[0.00,0.00,0.00]=2.41;P2[8.00,2.40,0.00]=6.01;P8[5.90,10.00,0.00]=9.53;null;[2.00,1.20,0.72]
P1[0.00,0.00,0.00]=2.50;P2[8.00,2.40,0.00]=5.76;P3[13.00,0.00,0.00]=10.70;P8[5.90,10.00,0.00]=9.29;[2.05,1.23,0.76]
P1[0.00,0.00,0.00]=2.57;P2[8.00,2.40,0.00]=5.57;P3[13.00,0.00,0.00]=10.41;P8[5.90,10.00,0.00]=9.21;[2.16,1.23,0.60]
P1[0.00,0.00,0.00]=2.64;P2[8.00,2.40,0.00]=5.49;P3[13.00,0.00,0.00]=10.58;P8[5.90,10.00,0.00]=9.03;[2.19,1.36,0.29]
P1[0.00,0.00,0.00]=2.73;P2[8.00,2.40,0.00]=5.56;P8[5.90,10.00,0.00]=8.90;null;[2.22,1.43,0.38]
P1[0.00,0.00,0.00]=2.65;P2[8.00,2.40,0.00]=5.46;P3[13.00,0.00,0.00]=10.57;P8[5.90,10.00,0.00]=9.07;[2.28,1.43,0.39]
P1[0.00,0.00,0.00]=2.75;P2[8.00,2.40,0.00]=5.50;P8[5.90,10.00,0.00]=9.05;null;[2.32,1.44,0.50]
P1[0.00,0.00,0.00]=2.76;P2[8.00,2.40,0.00]=5.64;P3[13.00,0.00,0.00]=10.67;P8[5.90,10.00,0.00]=8.96;[2.31,1.50,0.41]
P1[0.00,0.00,0.00]=2.68;P2[8.00,2.40,0.00]=6.05;P3[13.00,0.00,0.00]=10.54;P8[5.90,10.00,0.00]=9.00;[2.33,1.50,0.44]
P1[0.00,0.00,0.00]=2.67;P2[8.00,2.40,0.00]=5.85;P3[13.00,0.00,0.00]=10.56;P8[5.90,10.00,0.00]=8.95;[2.34,1.52,0.43]
P1[0.00,0.00,0.00]=2.49;P2[8.00,2.40,0.00]=5.69;P3[13.00,0.00,0.00]=10.66;P8[5.90,10.00,0.00]=9.18;[2.31,1.48,0.46]
P1[0.00,0.00,0.00]=2.47;P2[8.00,2.40,0.00]=5.70;P3[13.00,0.00,0.00]=10.60;P8[5.90,10.00,0.00]=9.22;[2.31,1.44,0.46]
P1[0.00,0.00,0.00]=2.47;P2[8.00,2.40,0.00]=5.68;P3[13.00,0.00,0.00]=10.55;P8[5.90,10.00,0.00]=9.09;[2.30,1.42,0.55]
P1[0.00,0.00,0.00]=2.46;P2[8.00,2.40,0.00]=5.72;P3[13.00,0.00,0.00]=10.54;P8[5.90,10.00,0.00]=8.95;[2.29,1.44,0.53]
