Anchor/Range;Anchor/Range;Anchor/Range;Anchor/Range;Estimated
P1[0.00,0.00,0.00]=2.83;P2[8.00,2.40,0.00]=6.01;P8[5.90,10.00,0.00]=8.92;null;[1.92,2.09,0.57]
P1[0.00,0.00,0.00]=2.84;P2P1[0.00,0.00,0.00]=2.87;P2[8.00,2.40,0.00]=6.11;P8[5.90,10.00,0.00]=8.81;[1.92,2.13,0.39]
P1[0.00,0.00,0.00]=2.90;P2[8.00,2.40,0.00]=6.07;P8[5.90,10.00,0.00]=8.88;null;[1.94,2.11,0.43]
P1[0.00,0.00,0.00]=2.86;P2[8.00,2.40,0.00]=6.08;P8[5.90,10.00,0.00]=8.73;null;[1.92,2.13,0.51]
P1[0.00,0.00,0.00]=2.86;P2[8.00,2.40,0.00]=6.16;P8[5.90,10.00,0.00]=8.85;null;[1.90,2.13,0.48]
P1[0.00,0.00,0.00]=2.85;P2[8.00,2.40,0.00]=6.08;P8[5.90,10.00,0.00]=8.79;null;[1.90,2.12,0.57]
P1[0.00,0.00,0.00]=2.84;P2[8.00,2.40,0.00]=6.02;P8[5.90,10.00,0.00]=8.73;null;[1.90,2.13,0.59]
P1[0.00,0.00,0.00]=2.84;P2[8.00,2.40,0.00]=6.11;P8[5.90,10.00,0.00]=8.75;null;[1.89,2.14,0.63]
P1[0.00,0.00,0.00]=2.86;P2[8.00,2.40,0.00]=6.06;P8[5.90,10.00,0.00]=8.73;null;[1.89,2.15,0.64]
P1[0.00,0.00,0.00]=2.88;P2[8.00,2.40,0.00]=6.11;P8[5.90,10.00,0.00]=8.87;null;[1.89,2.13,0.61]
P1[0.00,0.00,0.00]=2.86;P2[8.00,2.40,0.00]=6.15;P8[5.90,10.00,0.00]=8.83;null;[1.89,2.14,0.52]
P1[0.00,0.00,0.00]=2.86;P2[8.00,2.40,0.00]=6.04;P8[5.90,10.00,0.00]=8.84;null;[1.90,2.11,0.62]
P1[0.00,0.00,0.00]=2.83;P2[8.00,2.40,0.00]=5.97;P8[5.90,10.00,0.00]=8.80;null;[1.92,2.09,0.64]
