Anchor/Range;Anchor/Range;Anchor/Range;Anchor/Range;LS_Estimated
P1[0.00,0.00,0.00]=2.83;P2[8.00,2.40,0.00]=6.01;P8[5.90,10.00,0.00]=8.92;null;[2.01, 1.98, 0.0]
P1[0.00,0.00,0.00]=2.84;P2P1[0.00,0.00,0.00]=2.87;P2[8.00,2.40,0.00]=6.11;P8[5.90,10.00,0.00]=8.81;[1.89, 2.15, 0.0]
P1[0.00,0.00,0.00]=2.90;P2[8.00,2.40,0.00]=6.07;P8[5.90,10.00,0.00]=8.88;null;[1.94, 2.06, 0.0]
P1[0.00,0.00,0.00]=2.86;P2[8.00,2.40,0.00]=6.08;P8[5.90,10.00,0.00]=8.73;null;[1.92, 2.22, 0.0]
P1[0.00,0.00,0.00]=2.86;P2[8.00,2.40,0.00]=6.16;P8[5.90,10.00,0.00]=8.85;null;[1.85, 2.14, 0.0]
P1[0.00,0.00,0.00]=2.85;P2[8.00,2.40,0.00]=6.08;P8[5.90,10.00,0.00]=8.79;null;[1.92, 2.16, 0.0]
P1[0.00,0.00,0.00]=2.84;P2[8.00,2.40,0.00]=6.02;P8[5.90,10.00,0.00]=8.73;null;[1.98, 2.19, 0.0]
P1[0.00,0.00,0.00]=2.84;P2[8.00,2.40,0.00]=6.11;P8[5.90,10.00,0.00]=8.75;null;[1.89, 2.22, 0.0]
P1[0.00,0.00,0.00]=2.86;P2[8.00,2.40,0.00]=6.06;P8[5.90,10.00,0.00]=8.73;null;[1.94, 2.21, 0.0]
P1[0.00,0.00,0.00]=2.88;P2[8.00,2.40,0.00]=6.11;P8[5.90,10.00,0.00]=8.87;null;[1.9, 2.09, 0.0]
P1[0.00,0.00,0.00]=2.86;P2[8.00,2.40,0.00]=6.15;P8[5.90,10.00,0.00]=8.83;null;[1.86, 2.15, 0.0]
P1[0.00,0.00,0.00]=2.86;P2[8.00,2.40,0.00]=6.04;P8[5.90,10.00,0.00]=8.84;null;[1.97, 2.08, 0.0]
