TagID,Distance,Timestamp
49BA,426,"14:14:52
"
8704,74,"14:14:52
"
49BA,425,"14:14:52
"
8704,77,"14:14:52
"
49BA,425,"14:14:52
"
8704,75,"14:14:52
"
49BA,426,"14:14:52
"
8704,75,"14:14:52
"
49BA,428,"14:14:52
"
8704,73,"14:14:52
"
49BA,425,"14:14:52
"
8704,75,"14:14:52
"
49BA,426,"14:14:52
"
8704,77,"14:14:52
"
49BA,424,"14:14:52
"
8704,74,"14:14:52
"
49BA,427,"14:14:52
"
8704,79,"14:14:52
"
49BA,424,"14:14:53
"
8704,79,"14:14:53
"
49BA,426,"14:14:53
"
8704,79,"14:14:53
"
49BA,427,"14:14:53
"
8704,75,"14:14:53
"
49BA,425,"14:14:53
"
8704,73,"14:14:53
"
49BA,427,"14:14:53
"
8704,74,"14:14:53
"
49BA,428,"14:14:53
"
8704,75,"14:14:53
"
49BA,424,"14:14:53
"
8704,77,"14:14:53
"
49BA,428,"14:14:53
"
8704,77,"14:14:53
"
49BA,426,"14:14:53
"
8704,75,"14:14:53
"
49BA,425,"14:14:53
"
8704,73,"14:14:53
"
49BA,426,"14:14:54
"
8704,73,"14:14:54
"
49BA,427,"14:14:54
"
8704,77,"14:14:54
"
49BA,426,"14:14:54
"
8704,76,"14:14:54
"
49BA,424,"14:14:54
"
8704,78,"14:14:54
"
49BA,425,"14:14:54
"
8704,73,"14:14:54
"
49BA,427,"14:14:54
"
8704,76,"14:14:54
"
49BA,426,"14:14:54
"
8704,75,"14:14:54
"
49BA,427,"14:14:54
"
8704,73,"14:14:54
"
49BA,426,"14:14:54
"
8704,78,"14:14:54
"
49BA,424,"14:14:54
"
8704,77,"14:14:54
"
49BA,426,"14:14:55
"
8704,76,"14:14:55
"
49BA,426,"14:14:55
"
8704,77,"14:14:55
"
49BA,425,"14:14:55
"
8704,78,"14:14:55
"
49BA,424,"14:14:55
"
8704,79,"14:14:55
"
49BA,426,"14:14:55
"
8704,79,"14:14:55
"
49BA,429,"14:14:55
"
8704,78,"14:14:55
"
49BA,426,"14:14:55
"
8704,72,"14:14:55
"
49BA,424,"14:14:55
"
8704,74,"14:14:55
"
49BA,426,"14:14:55
"
8704,76,"14:14:55
"
49BA,425,"14:14:55
"
8704,78,"14:14:55
"
49BA,428,"14:14:56
"
8704,86,"14:14:56
"
49BA,427,"14:14:56
"
8704,104,"14:14:56
"
49BA,419,"14:14:56
"
8704,77,"14:14:56
"
49BA,430,"14:14:56
"
8704,62,"14:14:56
"
49BA,425,"14:14:56
"
8704,77,"14:14:56
"
49BA,427,"14:14:56
"
8704,70,"14:14:56
"
49BA,431,"14:14:56
"
8704,73,"14:14:56
"
49BA,432,"14:14:56
"
8704,80,"14:14:56
"
49BA,428,"14:14:56
"
8704,80,"14:14:56
"
49BA,432,"14:14:56
"
8704,68,"14:14:56
"
49BA,431,"14:14:57
"
8704,90,"14:14:57
"
49BA,426,"14:14:57
"
8704,75,"14:14:57
"
49BA,425,"14:14:57
"
8704,75,"14:14:57
"
49BA,435,"14:14:57
"
8704,72,"14:14:57
"
49BA,429,"14:14:57
"
8704,86,"14:14:57
"
49BA,421,"14:14:57
"
8704,75,"14:14:57
"
49BA,439,"14:14:57
"
8704,77,"14:14:57
"
49BA,428,"14:14:57
"
8704,84,"14:14:57
"
49BA,430,"14:14:57
"
8704,79,"14:14:57
"
49BA,426,"14:14:57
"
8704,72,"14:14:57
"
49BA,420,"14:14:58
"
8704,74,"14:14:58
"
49BA,428,"14:14:58
"
8704,72,"14:14:58
"
49BA,418,"14:14:58
"
8704,83,"14:14:58
"
49BA,420,"14:14:58
"
8704,76,"14:14:58
"
49BA,417,"14:14:58
"
8704,68,"14:14:58
"
49BA,405,"14:14:58
"
8704,75,"14:14:58
"
49BA,427,"14:14:58
"
8704,76,"14:14:58
"
49BA,429,"14:14:58
"
8704,77,"14:14:58
"
49BA,427,"14:14:58
"
8704,84,"14:14:58
"
49BA,418,"14:14:58
"
8704,90,"14:14:58
"
49BA,425,"14:14:59
"
8704,82,"14:14:59
"
49BA,428,"14:14:59
"
8704,69,"14:14:59
"
49BA,428,"14:14:59
"
8704,77,"14:14:59
"
49BA,426,"14:14:59
"
8704,75,"14:14:59
"
49BA,426,"14:14:59
"
8704,73,"14:14:59
"
49BA,428,"14:14:59
"
8704,94,"14:14:59
"
49BA,427,"14:14:59
"
8704,65,"14:14:59
"
49BA,425,"14:14:59
"
8704,85,"14:14:59
"
49BA,427,"14:14:59
"
8704,78,"14:14:59
"
49BA,427,"14:14:59
"
8704,62,"14:14:59
"
49BA,427,"14:15:00
"
8704,90,"14:15:00
"
49BA,427,"14:15:00
"
8704,83,"14:15:00
"
49BA,428,"14:15:00
"
8704,69,"14:15:00
"
49BA,425,"14:15:00
"
8704,72,"14:15:00
"
49BA,426,"14:15:00
"
8704,67,"14:15:00
"
49BA,426,"14:15:00
"
8704,79,"14:15:00
"
49BA,426,"14:15:00
"
8704,78,"14:15:00
"
49BA,428,"14:15:00
"
8704,73,"14:15:00
"
49BA,428,"14:15:00
"
8704,77,"14:15:00
"
49BA,428,"14:15:00
"
8704,74,"14:15:00
"
49BA,426,"14:15:01
"
8704,75,"14:15:01
"
49BA,427,"14:15:01
"
8704,77,"14:15:01
"
49BA,428,"14:15:01
"
8704,77,"14:15:01
"
49BA,427,"14:15:01
"
8704,76,"14:15:01
"
49BA,428,"14:15:01
"
8704,73,"14:15:01
"
49BA,425,"14:15:01
"
8704,75,"14:15:01
"
49BA,426,"14:15:01
"
8704,77,"14:15:01
"
49BA,426,"14:15:01
"
8704,74,"14:15:01
"
49BA,427,"14:15:01
"
8704,76,"14:15:01
"
49BA,427,"14:15:01
"
8704,77,"14:15:01
"
49BA,428,"14:15:02
"
8704,76,"14:15:02
"
49BA,426,"14:15:02
"
8704,75,"14:15:02
"
49BA,427,"14:15:02
"
